"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2019-08-19T04:00:00.000Z","50.96","51.88","48.63","49.03","-1.87","-2.53","587,217,103"
"2019-08-26T04:00:00.000Z","49.80","50.91","49.19","50.50","3.01","2.35","455,049,472"
"2019-09-03T04:00:00.000Z","49.94","51.88","49.41","51.59","2.17","1.51","341,357,465"
"2019-09-09T04:00:00.000Z","51.98","54.78","51.06","52.92","2.57","1.92","724,858,868"
"2019-09-16T04:00:00.000Z","52.68","54.13","52.61","52.68","-0.47","-1.12","600,797,828"
"2019-09-23T04:00:00.000Z","52.97","53.83","52.53","52.94","0.50","-0.16","486,848,725"
"2019-09-30T04:00:00.000Z","53.42","55.21","52.05","54.92","3.74","3.09","675,316,581"
"2019-10-07T04:00:00.000Z","54.74","57.49","54.27","57.15","4.05","3.40","620,646,558"
"2019-10-14T04:00:00.000Z","56.83","57.61","56.42","57.20","0.08","-0.57","448,019,302"
"2019-10-21T04:00:00.000Z","57.46","59.69","57.42","59.66","4.30","3.65","418,585,468"
"2019-10-28T04:00:00.000Z","59.86","61.92","57.40","61.89","3.75","3.09","676,037,662"
"2019-11-04T05:00:00.000Z","62.26","63.20","61.78","63.13","1.99","1.34","437,686,043"
"2019-11-11T05:00:00.000Z","62.68","64.49","62.67","64.49","2.16","1.50","476,555,368"
"2019-11-18T05:00:00.000Z","64.50","65.03","63.19","63.52","-1.50","-2.15","470,043,561"
"2019-11-25T05:00:00.000Z","63.75","65.03","63.70","64.85","2.09","1.43","310,743,992"
"2019-12-02T05:00:00.000Z","64.86","65.76","62.19","65.69","1.29","0.64","474,286,494"
"2019-12-09T05:00:00.000Z","65.52","66.80","64.28","66.77","1.64","0.98","586,865,702"
"2019-12-16T05:00:00.000Z","67.22","68.59","67.21","67.81","1.56","0.90","755,551,473"
"2019-12-23T05:00:00.000Z","68.07","71.33","68.04","70.32","3.71","3.05","398,603,108"
"2019-12-30T05:00:00.000Z","70.24","72.94","69.21","72.17","2.63","1.98","543,367,705"
"2020-01-06T05:00:00.000Z","71.29","75.87","71.04","75.30","4.34","3.68","693,888,683"
"2020-01-13T05:00:00.000Z","75.62","77.34","75.11","77.34","2.71","2.05","673,032,748"
"2020-01-21T05:00:00.000Z","76.97","78.46","76.60","77.24","-0.13","-0.79","477,712,965"
"2020-01-27T05:00:00.000Z","75.24","79.56","73.98","75.11","-2.76","-3.42","893,337,701"
"2020-02-03T05:00:00.000Z","73.84","78.92","73.34","77.84","3.64","2.99","671,992,497"
"2020-02-10T05:00:00.000Z","76.42","79.59","76.34","79.04","1.54","0.88","505,954,661"
"2020-02-18T05:00:00.000Z","76.71","78.97","75.52","76.14","-3.66","-4.32","490,285,081"
"2020-02-24T05:00:00.000Z","72.30","73.99","62.36","66.49","-12.68","-13.33","1,437,870,076"
"2020-03-02T05:00:00.000Z","68.66","73.94","67.55","70.30","5.73","5.08","1,329,761,725"
"2020-03-09T04:00:00.000Z","64.15","69.67","60.32","67.61","-3.83","-4.48","1,662,614,162"
"2020-03-16T04:00:00.000Z","58.85","63.02","55.46","55.76","-17.53","-18.19","1,665,329,879"
"2020-03-23T04:00:00.000Z","55.48","62.92","51.71","60.26","8.07","7.41","1,423,177,082"
"2020-03-30T04:00:00.000Z","60.99","63.85","57.62","58.72","-2.56","-3.21","860,291,788"
"2020-04-06T04:00:00.000Z","61.03","66.09","60.66","65.18","11.01","10.35","756,182,594"
"2020-04-13T04:00:00.000Z","65.26","70.11","64.66","68.79","5.53","4.87","852,619,535"
"2020-04-20T04:00:00.000Z","67.61","68.84","64.56","68.83","0.06","-0.60","698,282,694"
"2020-04-27T04:00:00.000Z","68.54","72.73","67.67","70.31","2.16","1.50","812,027,367"
"2020-05-04T04:00:00.000Z","70.34","75.69","69.64","75.64","7.58","6.92","691,259,652"
"2020-05-11T04:00:00.000Z","75.14","77.97","73.22","75.05","-0.78","-1.44","855,033,204"
"2020-05-18T04:00:00.000Z","76.38","78.26","75.69","77.78","3.63","2.98","546,446,886"
"2020-05-26T04:00:00.000Z","78.90","79.08","76.36","77.54","-0.30","-0.95","539,028,403"
"2020-06-01T04:00:00.000Z","77.50","80.91","77.37","80.85","4.26","3.61","510,431,372"
"2020-06-08T04:00:00.000Z","80.55","86.53","79.83","82.63","2.20","1.55","832,154,710"
"2020-06-15T04:00:00.000Z","81.28","86.96","81.11","85.29","3.22","2.57","799,469,153"
"2020-06-22T04:00:00.000Z","85.69","90.82","85.64","86.25","1.12","0.46","905,113,043"
"2020-06-29T04:00:00.000Z","86.16","90.36","85.67","88.80","2.96","2.31","508,058,747"
"2020-07-06T04:00:00.000Z","90.24","93.96","90.21","93.58","5.37","4.72","578,195,714"
"2020-07-13T04:00:00.000Z","94.89","97.51","91.58","93.97","0.42","-0.23","736,593,995"
"2020-07-20T04:00:00.000Z","94.06","96.83","86.97","90.35","-3.85","-4.51","682,069,922"
"2020-07-27T04:00:00.000Z","91.42","103.82","90.97","103.66","14.73","14.08","868,817,703"
"2020-08-03T04:00:00.000Z","105.56","111.62","105.26","108.45","4.61","3.96","1,028,443,334"
"2020-08-10T04:00:00.000Z","109.90","113.26","106.49","112.15","3.42","2.76","965,047,716"
"2020-08-17T04:00:00.000Z","113.28","121.87","111.23","121.39","8.23","7.58","856,233,911"
"2020-08-24T04:00:00.000Z","125.61","125.70","120.10","121.81","0.35","-0.30","1,089,779,766"
"2020-08-31T04:00:00.000Z","124.52","134.67","108.23","118.06","-3.08","-3.74","1,197,218,672"
"2020-09-08T04:00:00.000Z","111.22","117.61","107.36","109.31","-7.41","-8.06","790,402,726"
"2020-09-14T04:00:00.000Z","111.97","115.98","103.55","104.28","-4.61","-5.26","968,159,672"
"2020-09-21T04:00:00.000Z","102.03","110.15","100.63","109.59","5.09","4.44","868,035,680"
"2020-09-28T04:00:00.000Z","112.25","114.90","109.53","110.31","0.66","0","657,001,268"
"2020-10-05T04:00:00.000Z","111.18","114.19","109.56","114.16","3.50","2.84","562,058,053"
"2020-10-12T04:00:00.000Z","117.18","122.38","115.32","116.16","1.75","1.10","903,240,565"
"2020-10-19T04:00:00.000Z","117.08","117.53","111.54","112.28","-3.34","-4.00","532,339,904"
"2020-10-26T04:00:00.000Z","111.28","114.47","105.14","106.25","-5.37","-6.03","701,598,515"
"2020-11-02T05:00:00.000Z","106.49","116.75","104.75","116.04","9.22","8.56","624,352,182"
"2020-11-09T05:00:00.000Z","117.81","119.27","111.58","116.60","0.48","-0.18","603,330,172"
"2020-11-16T05:00:00.000Z","116.27","118.29","114.20","114.72","-1.61","-2.27","398,379,016"
"2020-11-23T05:00:00.000Z","114.57","115.00","110.08","113.99","-0.64","-1.29","373,351,775"
"2020-11-30T05:00:00.000Z","114.36","121.02","114.20","119.52","4.85","4.20","556,215,755"
"2020-12-07T05:00:00.000Z","119.58","123.14","117.47","119.68","0.13","-0.52","462,596,717"
"2020-12-14T05:00:00.000Z","119.87","126.69","118.83","123.83","3.47","2.81","635,942,903"
"2020-12-21T05:00:00.000Z","122.23","131.41","120.70","129.03","4.20","3.54","443,652,686"
"2020-12-28T05:00:00.000Z","131.00","135.69","128.78","129.73","0.55","-0.11","451,165,480"
"2021-01-04T05:00:00.000Z","130.54","130.63","123.56","129.10","-0.48","-1.14","624,725,576"
"2021-01-11T05:00:00.000Z","126.31","128.52","124.03","124.30","-3.72","-4.37","494,048,911"
"2021-01-18T05:00:00.000Z","124.93","136.73","124.11","135.97","9.38","8.73","439,877,097"
"2021-01-25T05:00:00.000Z","139.88","141.85","127.31","129.02","-5.11","-5.77","733,348,449"
"2021-02-01T05:00:00.000Z","130.77","134.56","128.01","133.91","3.79","3.14","449,209,685"
"2021-02-08T05:00:00.000Z","133.19","135.00","130.91","132.55","-1.02","-1.67","352,898,978"
"2021-02-16T05:00:00.000Z","132.67","133.17","124.75","127.16","-4.06","-4.72","370,918,627"
"2021-02-22T05:00:00.000Z","125.34","127.02","115.92","118.73","-6.63","-7.29","700,592,587"
"2021-03-01T05:00:00.000Z","121.17","126.04","115.12","118.89","0.13","-0.52","677,580,138"
"2021-03-08T05:00:00.000Z","118.41","120.64","113.79","118.51","-0.32","-0.98","599,472,765"
"2021-03-15T04:00:00.000Z","118.88","124.57","117.18","117.49","-0.86","-1.51","640,112,883"
"2021-03-22T04:00:00.000Z","117.82","121.65","116.44","118.68","1.02","0.36","499,231,725"
"2021-03-29T04:00:00.000Z","119.11","121.59","116.38","120.44","1.48","0.82","367,565,644"
"2021-04-05T04:00:00.000Z","121.29","130.27","120.50","130.22","8.13","7.47","457,353,494"
"2021-04-12T04:00:00.000Z","129.76","132.19","127.91","131.36","0.88","0.22","453,634,283"
"2021-04-19T04:00:00.000Z","130.73","132.71","128.56","131.52","0.12","-0.54","430,214,267"
"2021-04-26T04:00:00.000Z","132.02","134.21","128.33","128.72","-2.13","-2.78","512,299,814"
"2021-05-03T04:00:00.000Z","129.29","131.28","124.06","127.71","-0.78","-1.44","463,326,082"
"2021-05-10T04:00:00.000Z","126.93","127.06","119.91","125.01","-2.12","-2.78","524,220,625"
"2021-05-17T04:00:00.000Z","124.39","125.54","120.50","123.02","-1.58","-2.24","393,907,550"
"2021-05-24T04:00:00.000Z","123.59","125.86","122.16","122.22","-0.65","-1.31","364,608,499"
"2021-06-01T04:00:00.000Z","122.68","123.74","120.77","123.48","1.03","0.37","283,757,099"
"2021-06-07T04:00:00.000Z","123.75","126.00","122.44","124.91","1.16","0.50","333,443,585"
"2021-06-14T04:00:00.000Z","125.37","130.01","124.63","127.96","2.44","1.79","466,082,662"
"2021-06-21T04:00:00.000Z","127.80","132.06","126.73","130.56","2.03","1.38","361,081,693"
"2021-06-28T04:00:00.000Z","130.85","137.31","130.79","137.28","5.15","4.49","327,644,435"
"2021-07-06T04:00:00.000Z","137.38","142.86","137.38","142.33","3.68","3.02","426,744,970"
"2021-07-12T04:00:00.000Z","143.41","147.12","140.88","143.58","0.88","0.23","514,110,357"
"2021-07-19T04:00:00.000Z","140.99","145.87","138.95","145.71","1.48","0.83","450,198,792"
"2021-07-26T04:00:00.000Z","145.43","146.96","139.81","143.06","-1.82","-2.47","431,602,264"
"2021-08-02T04:00:00.000Z","143.55","145.21","142.40","143.55","0.34","-0.31","290,041,451"
"2021-08-09T04:00:00.000Z","143.61","146.80","142.73","146.46","2.03","1.37","304,980,808"
"2021-08-16T04:00:00.000Z","145.91","148.99","141.94","145.57","-0.61","-1.27","437,370,774"
"2021-08-23T04:00:00.000Z","145.68","148.19","144.23","145.97","0.28","-0.38","277,035,669"
"2021-08-30T04:00:00.000Z","146.36","152.24","145.98","151.57","3.84","3.18","393,734,490"
"2021-09-07T04:00:00.000Z","152.23","154.47","146.07","146.33","-3.45","-4.11","361,296,543"
"2021-09-13T04:00:00.000Z","147.96","148.74","143.18","143.47","-1.95","-2.61","501,772,102"
"2021-09-20T04:00:00.000Z","141.25","144.86","138.77","144.32","0.59","-0.07","401,137,762"
"2021-09-27T04:00:00.000Z","142.89","143.37","136.65","140.12","-2.91","-3.56","449,380,484"
"2021-10-04T04:00:00.000Z","139.25","141.66","135.82","140.37","0.18","-0.48","389,814,089"
"2021-10-11T04:00:00.000Z","139.75","142.33","136.73","142.27","1.36","0.70","360,482,900"
"2021-10-18T04:00:00.000Z","140.91","147.52","140.62","146.06","2.66","2.00","346,834,020"
"2021-10-25T04:00:00.000Z","146.05","150.45","143.82","147.15","0.75","0.09","399,821,138"
"2021-11-01T04:00:00.000Z","146.35","149.73","145.18","148.82","1.14","0.48","329,826,447"
"2021-11-08T05:00:00.000Z","148.95","149.10","145.08","147.55","-0.85","-1.51","286,462,727"
"2021-11-15T05:00:00.000Z","147.92","158.40","146.91","157.94","7.04","6.38","470,071,066"
"2021-11-22T05:00:00.000Z","159.05","163.00","153.81","154.26","-2.33","-2.99","365,888,951"
"2021-11-29T05:00:00.000Z","156.78","167.53","155.23","159.21","3.21","2.55","681,067,907"
"2021-12-06T05:00:00.000Z","161.62","176.71","161.61","176.53","10.88","10.23","578,646,784"
"2021-12-13T05:00:00.000Z","178.17","179.17","166.93","168.35","-4.63","-5.29","782,527,893"
"2021-12-20T05:00:00.000Z","165.54","173.97","164.73","173.41","3.00","2.35","365,120,296"
"2021-12-27T05:00:00.000Z","174.21","178.38","174.19","174.68","0.73","0.08","345,878,154"
"2022-01-03T05:00:00.000Z","174.94","179.96","168.25","169.37","-3.04","-3.70","490,140,800"
"2022-01-10T05:00:00.000Z","166.33","174.30","165.43","170.25","0.52","-0.13","429,649,198"
"2022-01-18T05:00:00.000Z","168.72","169.73","159.66","159.77","-6.16","-6.82","406,876,019"
"2022-01-24T05:00:00.000Z","157.42","167.58","152.18","167.56","4.88","4.22","700,066,251"
"2022-01-31T05:00:00.000Z","167.39","173.37","166.75","169.80","1.34","0.68","466,034,241"
"2022-02-07T05:00:00.000Z","170.26","174.00","165.52","166.11","-2.18","-2.83","419,200,364"
"2022-02-14T05:00:00.000Z","164.86","170.74","163.69","164.79","-0.79","-1.45","369,563,734"
"2022-02-22T05:00:00.000Z","162.50","164.19","149.72","162.37","-1.46","-2.12","420,613,195"
"2022-02-28T05:00:00.000Z","160.61","166.37","159.54","160.72","-1.02","-1.67","425,141,293"
"2022-03-07T05:00:00.000Z","160.91","162.54","152.18","152.41","-5.17","-5.83","529,401,639"
"2022-03-14T04:00:00.000Z","149.17","162.01","147.84","161.52","5.98","5.32","510,798,024"
"2022-03-21T04:00:00.000Z","161.05","172.65","160.57","172.09","6.55","5.89","452,887,982"
"2022-03-28T04:00:00.000Z","169.58","176.91","169.36","171.69","-0.23","-0.89","472,494,097"
"2022-04-04T04:00:00.000Z","171.95","175.81","166.66","167.53","-2.42","-3.08","399,173,947"
"2022-04-11T04:00:00.000Z","166.18","168.70","162.56","162.81","-2.82","-3.48","301,997,496"
"2022-04-18T04:00:00.000Z","161.46","168.95","159.07","159.36","-2.12","-2.77","382,535,116"
"2022-04-25T04:00:00.000Z","158.70","163.70","153.05","155.28","-2.56","-3.21","549,959,972"
"2022-05-02T04:00:00.000Z","154.36","163.98","150.97","155.14","-0.09","-0.74","575,402,913"
"2022-05-09T04:00:00.000Z","152.83","154.61","136.92","145.11","-6.47","-7.12","695,672,719"
"2022-05-16T04:00:00.000Z","143.57","147.74","130.81","135.72","-6.47","-7.13","555,790,670"
"2022-05-23T04:00:00.000Z","135.92","147.65","135.28","147.61","8.76","8.10","502,747,667"
"2022-05-31T04:00:00.000Z","147.05","149.68","142.50","143.41","-2.85","-3.50","343,588,302"
"2022-06-06T04:00:00.000Z","145.03","147.83","135.20","135.27","-5.67","-6.33","359,274,147"
"2022-06-13T04:00:00.000Z","131.07","135.48","127.29","129.77","-4.06","-4.72","548,452,697"
"2022-06-21T04:00:00.000Z","131.61","139.98","131.51","139.74","7.68","7.02","320,309,129"
"2022-06-27T04:00:00.000Z","140.76","141.54","131.96","137.04","-1.93","-2.58","378,926,426"
"2022-07-05T04:00:00.000Z","135.90","145.55","135.07","145.04","5.84","5.18","282,125,933"
"2022-07-11T04:00:00.000Z","143.69","148.81","140.19","148.13","2.13","1.47","371,524,359"
"2022-07-18T04:00:00.000Z","148.69","154.16","144.71","152.00","2.61","1.95","365,957,343"
"2022-07-25T04:00:00.000Z","151.92","161.41","148.75","160.30","5.46","4.81","375,649,003"
"2022-08-01T04:00:00.000Z","158.82","164.92","157.46","163.33","1.89","1.23","326,772,827"
"2022-08-08T04:00:00.000Z","164.34","170.07","161.26","170.00","4.08","3.43","322,797,217"
"2022-08-15T04:00:00.000Z","169.43","174.00","169.22","169.43","-0.34","-0.99","326,634,163"
"2022-08-22T04:00:00.000Z","167.62","168.96","161.56","161.62","-4.61","-5.26","310,990,807"
"2022-08-29T04:00:00.000Z","159.18","160.91","152.78","153.91","-4.77","-5.43","395,223,326"
"2022-09-06T04:00:00.000Z","154.56","155.89","150.82","155.45","1.00","0.35","318,051,732"
"2022-09-12T04:00:00.000Z","157.64","162.25","146.56","148.86","-4.24","-4.89","575,361,556"
"2022-09-19T04:00:00.000Z","147.49","156.80","146.75","148.59","-0.18","-0.83","479,395,346"
"2022-09-26T04:00:00.000Z","147.83","152.83","136.32","136.51","-8.13","-8.79","584,674,197"
"2022-10-03T04:00:00.000Z","136.52","145.74","136.00","138.38","1.37","0.71","441,327,498"
"2022-10-10T04:00:00.000Z","138.71","142.76","132.73","136.69","-1.22","-1.88","429,430,359"
"2022-10-17T04:00:00.000Z","139.35","146.04","138.56","145.47","6.42","5.77","402,125,242"
"2022-10-24T04:00:00.000Z","145.38","155.58","142.37","153.84","5.75","5.10","519,433,570"
"2022-10-31T04:00:00.000Z","151.28","153.55","132.96","136.92","-11.00","-11.66","516,735,175"
"2022-11-07T05:00:00.000Z","135.66","148.42","133.17","148.12","8.18","7.52","465,959,011"
"2022-11-14T05:00:00.000Z","147.40","151.97","144.61","149.69","1.06","0.41","386,767,205"
"2022-11-21T05:00:00.000Z","148.57","150.23","145.37","146.54","-2.10","-2.76","206,204,527"
"2022-11-28T05:00:00.000Z","143.61","147.55","138.87","146.25","-0.20","-0.86","405,474,294"
"2022-12-05T05:00:00.000Z","146.21","149.32","138.52","140.66","-3.82","-4.48","345,147,668"
"2022-12-12T05:00:00.000Z","141.19","148.38","132.32","133.09","-5.38","-6.04","511,130,748"
"2022-12-19T05:00:00.000Z","133.68","135.36","128.43","130.63","-1.85","-2.50","388,647,183"
"2022-12-27T05:00:00.000Z","130.16","130.19","124.70","128.72","-1.46","-2.12","310,073,151"
"2023-01-03T05:00:00.000Z","129.07","129.68","123.01","128.41","-0.24","-0.89","373,427,954"
"2023-01-09T05:00:00.000Z","129.24","133.66","126.93","133.50","3.97","3.31","336,470,196"
"2023-01-17T05:00:00.000Z","133.57","137.32","132.52","136.59","2.31","1.65","274,379,932"
"2023-01-23T05:00:00.000Z","136.83","145.86","136.62","144.57","5.85","5.19","341,840,627"
"2023-01-30T05:00:00.000Z","143.61","155.91","140.00","153.06","5.87","5.22","484,766,343"
"2023-02-06T05:00:00.000Z","151.15","153.78","148.06","149.83","-2.11","-2.77","333,781,075"
"2023-02-13T05:00:00.000Z","149.77","155.11","149.67","151.36","1.02","0.36","319,380,496"
"2023-02-21T05:00:00.000Z","149.03","150.12","144.58","145.56","-3.83","-4.48","215,423,732"
"2023-02-27T05:00:00.000Z","146.56","149.93","142.78","149.85","2.94","2.29","276,191,778"
"2023-03-06T05:00:00.000Z","152.59","155.08","146.46","147.34","-1.68","-2.33","315,897,112"
"2023-03-13T04:00:00.000Z","146.65","155.52","146.55","153.79","4.38","3.72","413,749,039"
"2023-03-20T04:00:00.000Z","153.86","160.87","152.95","159.00","3.39","2.73","352,914,254"
"2023-03-27T04:00:00.000Z","158.69","163.71","154.76","163.61","2.90","2.25","270,046,941"
"2023-04-03T04:00:00.000Z","162.99","165.54","160.54","163.37","-0.15","-0.80","201,730,635"
"2023-04-10T04:00:00.000Z","160.16","165.02","158.53","163.92","0.33","-0.32","265,397,475"
"2023-04-17T04:00:00.000Z","163.80","166.85","162.75","163.73","-0.11","-0.77","251,919,147"
"2023-04-24T04:00:00.000Z","163.71","168.52","161.53","168.36","2.82","2.17","258,356,774"
"2023-05-01T04:00:00.000Z","167.96","172.94","163.03","172.22","2.29","1.64","363,560,633"
"2023-05-08T04:00:00.000Z","171.13","173.23","169.90","171.46","-0.44","-1.09","251,965,413"
"2023-05-15T04:00:00.000Z","172.05","175.26","169.32","174.03","1.50","0.85","260,308,885"
"2023-05-22T04:00:00.000Z","172.86","174.64","169.42","174.30","0.15","-0.50","251,975,490"
"2023-05-30T04:00:00.000Z","175.82","180.61","175.43","179.79","3.15","2.49","288,343,130"
"2023-06-05T04:00:00.000Z","181.46","183.76","176.18","179.80","0.01","-0.65","350,106,180"
"2023-06-12T04:00:00.000Z","180.10","185.79","179.81","183.73","2.19","1.53","335,997,452"
"2023-06-20T04:00:00.000Z","183.22","186.35","181.42","185.48","0.95","0.30","204,995,592"
"2023-06-26T04:00:00.000Z","185.63","193.23","184.04","192.72","3.91","3.25","283,419,833"
"2023-07-03T04:00:00.000Z","192.53","192.63","187.98","189.45","-1.70","-2.35","171,452,215"
"2023-07-10T04:00:00.000Z","188.04","190.47","185.40","189.46","0.01","-0.65","251,889,226"
"2023-07-17T04:00:00.000Z","190.67","196.95","190.00","190.71","0.66","0","312,926,748"
"2023-07-24T04:00:00.000Z","192.17","195.93","191.01","194.57","2.03","1.37","227,474,773"
"2023-07-31T04:00:00.000Z","194.80","195.46","180.75","180.82","-7.07","-7.72","304,654,550"
"2023-08-07T04:00:00.000Z","180.96","181.95","175.65","176.88","-2.18","-2.83","334,582,882"
"2023-08-14T04:00:00.000Z","177.06","178.78","171.08","173.60","-1.86","-2.51","262,835,869"
"2023-08-21T04:00:00.000Z","174.18","180.63","172.85","177.70","2.36","1.71","248,780,425"
"2023-08-28T04:00:00.000Z","179.17","188.95","177.64","188.50","6.07","5.42","265,551,114"
"2023-09-05T04:00:00.000Z","187.32","189.01","172.66","177.27","-5.95","-6.61","306,687,965"
"2023-09-11T04:00:00.000Z","179.15","179.38","172.70","174.12","-1.78","-2.43","405,812,072"
"2023-09-18T04:00:00.000Z","175.58","178.78","172.97","173.90","-0.13","-0.78","298,916,670"
"2023-09-25T04:00:00.000Z","173.31","176.07","166.77","170.34","-2.05","-2.70","287,301,446"
"2023-10-02T04:00:00.000Z","170.35","177.08","169.95","176.59","3.67","3.01","261,907,201"
"2023-10-09T04:00:00.000Z","175.91","181.41","174.91","177.94","0.77","0.11","243,076,411"
"2023-10-16T04:00:00.000Z","175.85","178.16","171.76","172.00","-3.34","-3.99","289,852,961"
"2023-10-23T04:00:00.000Z","170.04","173.12","164.83","167.36","-2.70","-3.35","287,541,752"
"2023-10-30T04:00:00.000Z","168.16","176.87","167.05","175.75","5.01","4.36","311,662,351"
"2023-11-06T05:00:00.000Z","175.48","185.86","175.31","185.70","5.66","5.00","305,119,102"
"2023-11-13T05:00:00.000Z","185.12","190.24","183.51","188.97","1.77","1.11","263,878,157"
"2023-11-20T05:00:00.000Z","189.17","192.20","188.53","189.25","0.15","-0.51","148,914,221"
"2023-11-27T05:00:00.000Z","189.20","191.36","187.48","190.52","0.67","0.01","217,302,078"
"2023-12-04T05:00:00.000Z","189.26","195.25","186.74","194.97","2.34","1.68","252,947,705"
"2023-12-11T05:00:00.000Z","192.38","198.87","190.70","196.82","0.95","0.29","380,852,743"
"2023-12-18T05:00:00.000Z","195.35","196.93","192.24","192.87","-2.01","-2.67","233,222,231"
"2023-12-26T05:00:00.000Z","192.88","193.92","190.37","191.80","-0.55","-1.21","154,312,149"
"2024-01-02T05:00:00.000Z","186.44","187.73","179.49","180.50","-5.90","-6.55","276,310,647"
"2024-01-08T05:00:00.000Z","181.40","186.34","180.81","185.22","2.62","1.96","239,289,782"
"2024-01-16T05:00:00.000Z","181.47","191.22","179.62","190.84","3.03","2.38","260,814,945"
"2024-01-22T05:00:00.000Z","191.57","195.64","191.21","191.69","0.45","-0.21","256,506,374"
"2024-01-29T05:00:00.000Z","191.28","191.47","178.57","185.15","-3.41","-4.07","327,146,429"
"2024-02-05T05:00:00.000Z","187.44","190.33","185.14","188.38","1.74","1.09","253,616,780"
"2024-02-12T05:00:00.000Z","187.94","188.20","180.90","181.85","-3.46","-4.12","268,803,221"
"2024-02-20T05:00:00.000Z","181.33","184.58","179.55","182.06","0.12","-0.54","193,091,343"
"2024-02-26T05:00:00.000Z","181.78","183.46","176.94","179.21","-1.57","-2.22","355,277,091"
"2024-03-04T05:00:00.000Z","175.71","176.46","168.07","170.30","-4.97","-5.63","394,293,376"
"2024-03-11T04:00:00.000Z","172.51","173.94","169.86","172.19","1.11","0.45","368,042,917"
"2024-03-18T04:00:00.000Z","175.13","178.22","169.63","171.85","-0.20","-0.85","362,493,243"
"2024-03-25T04:00:00.000Z","170.14","173.16","169.02","171.05","-0.46","-1.12","238,220,220"
"2024-04-01T04:00:00.000Z","170.76","171.49","167.81","169.15","-1.11","-1.76","239,671,954"
"2024-04-08T04:00:00.000Z","168.61","177.91","166.69","176.11","4.11","3.45","323,137,792"
"2024-04-15T04:00:00.000Z","174.92","176.19","163.66","164.59","-6.54","-7.20","310,194,590"
"2024-04-22T04:00:00.000Z","165.10","170.91","164.36","168.88","2.61","1.95","241,909,492"
"2024-04-29T04:00:00.000Z","172.94","186.53","168.69","182.92","8.32","7.66","443,037,771"
"2024-05-06T04:00:00.000Z","181.89","184.88","179.97","182.84","-0.04","-0.70","301,361,981"
"2024-05-13T04:00:00.000Z","185.22","190.87","184.41","189.65","3.73","3.07","289,300,864"
"2024-05-20T04:00:00.000Z","189.10","192.60","186.41","189.76","0.06","-0.60","208,893,387"
"2024-05-28T04:00:00.000Z","191.29","192.78","188.88","192.03","1.19","0.54","230,720,823"
"2024-06-03T04:00:00.000Z","192.68","196.71","192.30","196.66","2.41","1.76","246,278,886"
"2024-06-10T04:00:00.000Z","196.67","219.95","191.93","212.24","7.92","7.27","636,490,829"
"2024-06-17T04:00:00.000Z","213.12","218.70","206.87","207.25","-2.35","-3.01","506,851,157"
"2024-06-24T04:00:00.000Z","207.48","215.82","206.35","210.38","1.51","0.85","336,358,151"
"2024-07-01T04:00:00.000Z","211.84","226.19","211.68","226.08","7.46","6.81","216,481,463"
"2024-07-08T04:00:00.000Z","226.83","232.81","222.99","230.27","1.86","1.20","287,973,221"
"2024-07-15T04:00:00.000Z","236.21","236.96","222.01","224.05","-2.70","-3.36","278,719,311"
"2024-07-22T04:00:00.000Z","226.75","227.52","214.37","217.71","-2.83","-3.49","243,213,145"
"2024-07-29T04:00:00.000Z","216.71","225.34","215.50","219.61","0.87","0.22","296,403,739"
"2024-08-05T04:00:00.000Z","198.86","216.53","195.77","215.99","-1.65","-2.30","342,484,034"
"2024-08-12T04:00:00.000Z","216.07","226.83","215.60","226.05","4.66","4.00","214,898,000"
