"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2019-08-19T04:00:00.000Z","90.90","91.48","87.26","87.48","-2.40","-2.76","294,568,004"
"2019-08-26T04:00:00.000Z","88.35","89.99","87.18","88.81","1.52","1.16","292,327,996"
"2019-09-03T04:00:00.000Z","88.50","92.10","88.40","91.68","3.22","2.86","233,900,000"
"2019-09-09T04:00:00.000Z","92.05","92.68","90.27","91.97","0.32","-0.04","256,816,004"
"2019-09-16T04:00:00.000Z","91.20","91.63","89.05","89.71","-2.46","-2.82","317,570,000"
"2019-09-23T04:00:00.000Z","88.85","89.79","85.69","86.27","-3.83","-4.19","376,558,000"
"2019-09-30T04:00:00.000Z","86.39","87.78","84.25","86.98","0.82","0.46","307,660,000"
"2019-10-07T04:00:00.000Z","86.58","87.39","85.25","86.60","-0.44","-0.80","258,090,000"
"2019-10-14T04:00:00.000Z","86.45","89.94","86.10","87.88","1.48","1.12","278,834,004"
"2019-10-21T04:00:00.000Z","88.48","89.49","84.75","88.07","0.22","-0.14","429,606,000"
"2019-10-28T04:00:00.000Z","87.40","89.87","87.13","89.57","1.71","1.35","280,128,004"
"2019-11-04T05:00:00.000Z","90.05","90.75","88.70","89.29","-0.31","-0.67","229,283,996"
"2019-11-11T05:00:00.000Z","88.90","89.31","86.64","86.97","-2.60","-2.96","262,256,000"
"2019-11-18T05:00:00.000Z","86.92","88.13","86.14","87.29","0.36","0","261,040,004"
"2019-11-25T05:00:00.000Z","87.66","91.23","87.66","90.04","3.16","2.80","232,779,996"
"2019-12-02T05:00:00.000Z","90.22","90.28","87.00","87.58","-2.73","-3.09","321,792,000"
"2019-12-09T05:00:00.000Z","87.53","88.45","86.75","88.05","0.53","0.17","259,422,000"
"2019-12-16T05:00:00.000Z","88.35","90.15","87.85","89.33","1.45","1.09","360,814,000"
"2019-12-23T05:00:00.000Z","89.41","95.07","89.23","93.49","4.66","4.30","304,640,000"
"2019-12-30T05:00:00.000Z","93.70","94.90","91.61","93.75","0.28","-0.08","279,802,000"
"2020-01-06T05:00:00.000Z","93.00","95.89","93.00","94.16","0.44","0.08","354,866,000"
"2020-01-13T05:00:00.000Z","94.57","94.90","92.75","93.24","-0.98","-1.34","315,706,004"
"2020-01-21T05:00:00.000Z","93.25","95.13","92.37","93.08","-0.17","-0.52","263,491,996"
"2020-01-27T05:00:00.000Z","91.00","102.79","90.77","100.44","7.90","7.54","606,648,000"
"2020-02-03T05:00:00.000Z","100.53","104.93","100.01","103.96","3.51","3.15","476,854,000"
"2020-02-10T05:00:00.000Z","104.25","109.30","104.25","106.74","2.67","2.31","395,484,000"
"2020-02-18T05:00:00.000Z","106.25","109.25","104.40","104.80","-1.82","-2.18","265,882,000"
"2020-02-24T05:00:00.000Z","100.16","101.96","90.56","94.19","-10.13","-10.48","712,878,008"
"2020-03-02T05:00:00.000Z","95.32","99.82","93.47","95.05","0.92","0.56","581,792,000"
"2020-03-09T04:00:00.000Z","88.69","94.71","83.75","89.25","-6.11","-6.47","814,984,016"
"2020-03-16T04:00:00.000Z","82.08","97.85","81.30","92.30","3.42","3.06","993,944,000"
"2020-03-23T04:00:00.000Z","91.39","97.82","90.60","95.00","2.93","2.57","661,146,000"
"2020-03-30T04:00:00.000Z","96.14","99.65","94.46","95.33","0.34","-0.02","466,342,000"
"2020-04-06T04:00:00.000Z","96.80","102.65","96.50","102.14","7.14","6.78","390,398,008"
"2020-04-13T04:00:00.000Z","102.00","123.05","101.90","118.75","16.26","15.90","832,770,000"
"2020-04-20T04:00:00.000Z","119.50","122.25","113.98","120.51","1.48","1.12","527,272,000"
"2020-04-27T04:00:00.000Z","122.16","123.75","112.91","114.30","-5.15","-5.51","696,274,000"
"2020-05-04T04:00:00.000Z","112.82","119.36","112.82","118.98","4.09","3.73","356,674,012"
"2020-05-11T04:00:00.000Z","118.73","120.98","116.89","120.49","1.27","0.91","380,000,000"
"2020-05-18T04:00:00.000Z","120.22","126.27","119.20","121.84","1.12","0.77","413,328,004"
"2020-05-26T04:00:00.000Z","122.90","123.10","116.50","122.12","0.23","-0.13","306,948,000"
"2020-06-01T04:00:00.000Z","122.40","125.38","121.86","124.15","1.66","1.30","287,879,996"
"2020-06-08T04:00:00.000Z","125.01","136.12","124.37","127.25","2.50","2.14","506,574,000"
"2020-06-15T04:00:00.000Z","126.33","134.87","125.40","133.75","5.11","4.75","373,856,000"
"2020-06-22T04:00:00.000Z","134.22","139.80","133.45","134.64","0.67","0.31","428,726,000"
"2020-06-29T04:00:00.000Z","134.50","147.78","131.50","144.51","7.33","6.97","418,993,992"
"2020-07-06T04:00:00.000Z","146.75","160.75","146.50","160.00","10.72","10.36","581,004,000"
"2020-07-13T04:00:00.000Z","162.55","167.21","145.91","148.10","-7.44","-7.80","637,932,000"
"2020-07-20T04:00:00.000Z","150.01","162.03","144.40","150.45","1.58","1.23","582,529,992"
"2020-07-27T04:00:00.000Z","153.10","162.34","149.79","158.23","5.18","4.82","489,650,000"
"2020-08-03T04:00:00.000Z","159.03","162.37","155.06","158.37","0.09","-0.27","431,510,000"
"2020-08-10T04:00:00.000Z","158.52","160.88","153.65","157.40","-0.61","-0.97","326,261,992"
"2020-08-17T04:00:00.000Z","158.66","166.00","157.71","164.24","4.34","3.98","382,608,000"
"2020-08-24T04:00:00.000Z","165.51","172.65","162.88","170.09","3.56","3.21","446,586,000"
"2020-08-31T04:00:00.000Z","170.45","177.61","155.56","164.73","-3.15","-3.51","570,728,000"
"2020-09-08T04:00:00.000Z","157.20","167.49","154.20","155.81","-5.41","-5.77","434,148,000"
"2020-09-14T04:00:00.000Z","158.65","159.37","145.28","147.75","-5.18","-5.54","568,472,000"
"2020-09-21T04:00:00.000Z","145.32","156.70","143.55","154.76","4.75","4.39","577,276,008"
"2020-09-28T04:00:00.000Z","157.44","161.20","155.86","156.25","0.97","0.61","464,168,000"
"2020-10-05T04:00:00.000Z","157.29","164.45","154.50","164.33","5.17","4.81","425,067,996"
"2020-10-12T04:00:00.000Z","167.50","174.81","158.00","163.64","-0.42","-0.78","632,706,008"
"2020-10-19T04:00:00.000Z","164.98","166.45","156.10","160.22","-2.09","-2.45","440,090,000"
"2020-10-26T04:00:00.000Z","159.94","164.58","150.95","151.81","-5.25","-5.61","615,458,000"
"2020-11-02T05:00:00.000Z","153.09","168.34","147.51","165.57","9.06","8.71","588,612,000"
"2020-11-09T05:00:00.000Z","160.55","164.45","150.97","156.44","-5.51","-5.87","525,638,000"
"2020-11-16T05:00:00.000Z","154.66","159.46","153.63","154.97","-0.94","-1.30","331,207,996"
"2020-11-23T05:00:00.000Z","155.84","160.81","153.27","159.77","3.10","2.74","289,882,000"
"2020-11-30T05:00:00.000Z","160.42","162.45","156.28","158.13","-1.03","-1.38","350,862,008"
"2020-12-07T05:00:00.000Z","157.82","159.21","153.64","155.82","-1.46","-1.82","324,661,996"
"2020-12-14T05:00:00.000Z","157.15","163.18","156.30","160.08","2.73","2.38","427,538,000"
"2020-12-21T05:00:00.000Z","160.00","161.35","158.30","158.63","-0.90","-1.26","195,281,998"
"2020-12-28T05:00:00.000Z","159.70","167.53","158.63","162.85","2.66","2.30","334,522,004"
"2021-01-04T05:00:00.000Z","163.50","163.60","156.56","159.13","-2.28","-2.64","370,278,000"
"2021-01-11T05:00:00.000Z","157.40","159.50","154.30","155.21","-2.46","-2.82","356,390,000"
"2021-01-18T05:00:00.000Z","155.35","167.43","154.80","164.61","6.06","5.70","327,635,996"
"2021-01-25T05:00:00.000Z","166.43","168.19","159.23","160.31","-2.61","-2.97","376,154,004"
"2021-02-01T05:00:00.000Z","162.12","171.70","161.75","167.61","4.55","4.19","512,778,000"
"2021-02-08T05:00:00.000Z","167.93","168.25","161.67","163.89","-2.22","-2.58","264,980,000"
"2021-02-16T05:00:00.000Z","162.70","166.90","162.29","162.50","-0.85","-1.21","264,307,996"
"2021-02-22T05:00:00.000Z","160.41","161.62","151.84","154.65","-4.83","-5.19","400,274,000"
"2021-03-01T05:00:00.000Z","156.39","158.18","144.05","150.02","-2.99","-3.35","403,766,000"
"2021-03-08T05:00:00.000Z","150.75","156.59","147.57","154.47","2.97","2.61","328,510,000"
"2021-03-15T04:00:00.000Z","153.73","158.65","150.83","153.75","-0.47","-0.83","337,160,000"
"2021-03-22T04:00:00.000Z","153.39","159.10","149.80","152.60","-0.75","-1.11","331,089,992"
"2021-03-29T04:00:00.000Z","152.77","158.12","151.42","158.05","3.57","3.21","222,351,992"
"2021-04-05T04:00:00.000Z","158.65","168.61","158.06","168.61","6.68","6.32","327,444,000"
"2021-04-12T04:00:00.000Z","167.76","171.60","166.30","169.97","0.81","0.45","323,244,008"
"2021-04-19T04:00:00.000Z","169.52","171.80","165.07","167.04","-1.72","-2.08","266,732,000"
"2021-04-26T04:00:00.000Z","167.40","177.70","166.55","173.37","3.79","3.43","560,624,000"
"2021-05-03T04:00:00.000Z","174.24","174.33","162.36","164.58","-5.07","-5.43","483,680,008"
"2021-05-10T04:00:00.000Z","164.12","164.15","156.37","161.15","-2.09","-2.45","441,530,008"
"2021-05-17T04:00:00.000Z","162.30","165.60","159.20","160.15","-0.61","-0.97","319,396,004"
"2021-05-24T04:00:00.000Z","160.78","164.79","160.53","161.15","0.62","0.26","259,207,996"
"2021-06-01T04:00:00.000Z","162.18","162.55","159.20","160.31","-0.52","-0.88","181,848,000"
"2021-06-07T04:00:00.000Z","159.87","168.33","158.61","167.34","4.39","4.03","287,632,000"
"2021-06-14T04:00:00.000Z","167.34","175.35","166.78","174.34","4.19","3.83","391,654,000"
"2021-06-21T04:00:00.000Z","173.82","176.24","169.71","170.07","-2.45","-2.81","344,164,004"
"2021-06-28T04:00:00.000Z","170.80","175.59","170.47","175.55","3.22","2.86","239,172,000"
"2021-07-06T04:00:00.000Z","176.51","188.00","176.45","185.97","5.93","5.58","420,030,000"
"2021-07-12T04:00:00.000Z","187.20","188.65","178.52","178.68","-3.92","-4.28","338,858,004"
"2021-07-19T04:00:00.000Z","176.29","183.31","174.96","182.83","2.32","1.96","301,210,000"
"2021-07-26T04:00:00.000Z","183.66","185.60","165.35","166.38","-9.00","-9.36","510,330,004"
"2021-08-02T04:00:00.000Z","167.66","169.55","164.99","167.25","0.52","0.16","295,324,004"
"2021-08-09T04:00:00.000Z","167.18","167.90","163.48","164.70","-1.52","-1.88","237,766,004"
"2021-08-16T04:00:00.000Z","164.15","165.00","158.79","160.00","-2.85","-3.21","333,235,996"
"2021-08-23T04:00:00.000Z","160.59","167.62","160.50","167.48","4.68","4.32","240,024,000"
"2021-08-30T04:00:00.000Z","167.87","176.35","167.76","173.90","3.83","3.47","333,645,996"
"2021-09-07T04:00:00.000Z","173.90","177.50","173.15","173.46","-0.26","-0.62","218,216,000"
"2021-09-13T04:00:00.000Z","174.14","174.90","170.10","173.13","-0.19","-0.55","293,266,000"
"2021-09-20T04:00:00.000Z","169.80","171.46","165.25","171.28","-1.07","-1.43","287,138,000"
"2021-09-27T04:00:00.000Z","168.57","170.78","162.80","164.16","-4.15","-4.51","326,199,992"
"2021-10-04T04:00:00.000Z","163.97","166.29","158.81","164.43","0.16","-0.20","294,646,004"
"2021-10-11T04:00:00.000Z","163.75","170.52","161.81","170.45","3.66","3.30","271,412,000"
"2021-10-18T04:00:00.000Z","169.42","173.14","166.56","166.78","-2.16","-2.51","254,401,996"
"2021-10-25T04:00:00.000Z","166.75","173.95","163.67","168.62","1.11","0.75","396,422,008"
"2021-11-01T04:00:00.000Z","168.09","178.31","164.18","175.95","4.35","3.99","399,666,000"
"2021-11-08T05:00:00.000Z","176.16","180.27","172.35","176.26","0.18","-0.18","326,999,996"
"2021-11-15T05:00:00.000Z","176.85","188.11","176.26","183.83","4.30","3.94","367,131,992"
"2021-11-22T05:00:00.000Z","183.82","185.67","175.21","175.23","-4.68","-5.04","277,184,000"
"2021-11-29T05:00:00.000Z","177.38","179.80","166.93","169.49","-3.27","-3.63","365,904,004"
"2021-12-06T05:00:00.000Z","169.65","177.50","166.93","172.21","1.61","1.25","287,270,000"
"2021-12-13T05:00:00.000Z","172.00","174.17","165.19","170.02","-1.27","-1.63","340,566,000"
"2021-12-20T05:00:00.000Z","166.85","172.05","165.60","171.07","0.62","0.26","205,147,996"
"2021-12-27T05:00:00.000Z","171.04","172.94","166.56","166.72","-2.54","-2.90","234,722,000"
"2022-01-03T05:00:00.000Z","167.55","171.40","161.94","162.55","-2.50","-2.86","297,454,000"
"2022-01-10T05:00:00.000Z","160.59","166.88","156.30","162.14","-0.26","-0.62","298,792,000"
"2022-01-18T05:00:00.000Z","159.10","159.73","142.07","142.64","-12.02","-12.38","356,622,000"
"2022-01-24T05:00:00.000Z","139.00","145.18","135.35","143.98","0.94","0.58","494,372,000"
"2022-01-31T05:00:00.000Z","144.75","161.20","138.33","157.64","9.49","9.13","703,836,000"
"2022-02-07T05:00:00.000Z","158.52","163.83","152.73","153.29","-2.76","-3.12","392,816,000"
"2022-02-14T05:00:00.000Z","151.75","160.35","150.89","152.60","-0.45","-0.81","320,540,000"
"2022-02-22T05:00:00.000Z","150.48","153.99","139.50","153.79","0.78","0.42","293,548,000"
"2022-02-28T05:00:00.000Z","152.43","154.45","143.81","145.64","-5.30","-5.66","276,066,000"
"2022-03-07T05:00:00.000Z","145.44","149.68","133.57","145.52","-0.08","-0.44","465,238,560"
"2022-03-14T04:00:00.000Z","145.98","161.59","140.88","161.25","10.81","10.45","410,522,000"
"2022-03-21T04:00:00.000Z","161.12","166.37","159.55","164.77","2.18","1.83","292,314,004"
"2022-03-28T04:00:00.000Z","164.97","170.83","162.32","163.56","-0.74","-1.10","299,221,996"
"2022-04-04T04:00:00.000Z","164.13","168.39","154.23","154.46","-5.56","-5.92","296,924,000"
"2022-04-11T04:00:00.000Z","152.71","156.03","149.60","151.71","-1.78","-2.14","212,275,996"
"2022-04-18T04:00:00.000Z","151.52","158.65","143.70","144.35","-4.85","-5.21","298,114,000"
"2022-04-25T04:00:00.000Z","144.02","146.22","121.63","124.28","-13.90","-14.26","600,713,992"
"2022-05-02T04:00:00.000Z","122.40","126.22","113.08","114.77","-7.65","-8.01","607,312,008"
"2022-05-09T04:00:00.000Z","111.31","114.00","102.41","113.06","-1.50","-1.86","568,965,992"
"2022-05-16T04:00:00.000Z","113.10","115.80","105.01","107.59","-4.83","-5.19","447,030,000"
"2022-05-23T04:00:00.000Z","108.46","115.19","101.26","115.15","7.02","6.66","490,512,000"
"2022-05-31T04:00:00.000Z","116.28","125.61","115.67","122.35","6.26","5.90","470,324,000"
"2022-06-06T04:00:00.000Z","125.25","128.99","109.05","109.65","-10.38","-10.74","439,794,200"
"2022-06-13T04:00:00.000Z","104.19","109.06","101.43","106.22","-3.13","-3.49","435,975,800"
