"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2019-08-19T04:00:00.000Z","24.01","24.86","23.29","23.38","-0.60","-1.46","108,085,127"
"2019-08-26T04:00:00.000Z","23.79","24.56","23.24","24.28","3.86","3.00","91,842,232"
"2019-09-03T04:00:00.000Z","24.05","25.23","23.28","25.08","3.28","2.42","89,357,074"
"2019-09-09T04:00:00.000Z","25.34","25.97","24.39","24.94","-0.54","-1.40","183,293,225"
"2019-09-16T04:00:00.000Z","24.64","25.08","24.38","24.64","-1.19","-2.05","137,256,390"
"2019-09-23T04:00:00.000Z","24.59","25.05","23.41","23.77","-3.56","-4.42","172,064,904"
"2019-09-30T04:00:00.000Z","23.97","24.42","23.17","24.40","2.66","1.80","120,796,607"
"2019-10-07T04:00:00.000Z","24.28","24.63","23.31","24.35","-0.18","-1.04","116,307,282"
"2019-10-14T04:00:00.000Z","24.31","25.29","24.27","24.86","2.07","1.21","99,465,154"
"2019-10-21T04:00:00.000Z","25.01","25.31","24.16","25.13","1.08","0.22","99,436,358"
"2019-10-28T04:00:00.000Z","25.24","25.71","24.84","25.71","2.34","1.48","106,881,657"
"2019-11-04T05:00:00.000Z","25.97","27.70","25.93","27.17","5.67","4.81","153,027,560"
"2019-11-11T05:00:00.000Z","26.98","27.43","26.54","27.13","-0.16","-1.02","86,234,292"
"2019-11-18T05:00:00.000Z","27.03","28.24","26.71","27.30","0.64","-0.22","115,436,436"
"2019-11-25T05:00:00.000Z","27.45","27.76","27.31","27.41","0.41","-0.45","92,099,474"
"2019-12-02T05:00:00.000Z","27.55","27.56","26.28","27.40","-0.05","-0.91","102,852,771"
"2019-12-09T05:00:00.000Z","27.40","28.62","26.93","27.35","-0.20","-1.06","196,519,772"
"2019-12-16T05:00:00.000Z","27.57","28.71","27.53","27.94","2.16","1.30","202,075,884"
"2019-12-23T05:00:00.000Z","28.07","28.23","27.61","27.72","-0.77","-1.63","65,797,079"
"2019-12-30T05:00:00.000Z","27.72","28.24","27.39","27.52","-0.74","-1.60","77,796,718"
"2020-01-06T05:00:00.000Z","27.22","27.73","26.17","26.20","-4.76","-5.62","176,612,761"
"2020-01-13T05:00:00.000Z","26.27","27.07","26.24","27.04","3.20","2.34","139,423,619"
"2020-01-21T05:00:00.000Z","26.96","29.04","26.83","28.37","4.93","4.07","156,751,324"
"2020-01-27T05:00:00.000Z","27.71","28.50","26.59","26.73","-5.81","-6.67","147,220,351"
"2020-02-03T05:00:00.000Z","26.77","28.01","26.59","27.61","3.30","2.44","122,449,954"
"2020-02-10T05:00:00.000Z","27.36","28.52","27.18","27.83","0.81","-0.05","94,827,510"
"2020-02-18T05:00:00.000Z","27.59","27.75","26.47","26.67","-4.18","-5.03","111,077,162"
"2020-02-24T05:00:00.000Z","25.75","26.17","23.01","23.88","-10.47","-11.33","195,560,793"
"2020-03-02T05:00:00.000Z","24.24","25.26","22.99","23.60","-1.16","-2.02","159,772,644"
"2020-03-09T04:00:00.000Z","21.99","23.09","17.62","20.51","-13.07","-13.93","324,337,303"
"2020-03-16T04:00:00.000Z","18.23","19.16","13.63","17.12","-16.54","-17.40","449,697,870"
"2020-03-23T04:00:00.000Z","17.18","21.80","15.83","20.55","20.01","19.15","307,650,919"
"2020-03-30T04:00:00.000Z","20.68","22.51","19.57","20.86","1.55","0.69","245,240,929"
"2020-04-06T04:00:00.000Z","21.78","23.82","21.69","22.65","8.55","7.70","165,216,568"
"2020-04-13T04:00:00.000Z","22.58","23.90","22.52","23.68","4.55","3.69","152,396,955"
"2020-04-20T04:00:00.000Z","23.16","23.63","21.98","23.59","-0.40","-1.26","149,851,511"
"2020-04-27T04:00:00.000Z","23.54","24.67","23.00","23.13","-1.93","-2.79","128,745,657"
"2020-05-04T04:00:00.000Z","23.09","24.54","22.74","24.50","5.90","5.04","113,682,616"
"2020-05-11T04:00:00.000Z","24.35","24.74","22.69","23.19","-5.32","-6.17","115,763,081"
"2020-05-18T04:00:00.000Z","23.92","25.05","23.87","24.64","6.24","5.38","107,946,301"
"2020-05-26T04:00:00.000Z","25.38","26.01","24.94","25.94","5.28","4.43","103,587,718"
"2020-06-01T04:00:00.000Z","25.87","29.22","25.59","28.24","8.86","8.00","188,822,606"
"2020-06-08T04:00:00.000Z","28.28","28.43","26.07","26.74","-5.31","-6.17","175,955,907"
"2020-06-15T04:00:00.000Z","26.27","28.62","26.04","27.24","1.88","1.02","193,164,347"
"2020-06-22T04:00:00.000Z","27.49","28.56","27.26","27.66","1.53","0.67","127,984,069"
"2020-06-29T04:00:00.000Z","27.72","28.74","27.40","28.39","2.62","1.76","79,948,284"
"2020-07-06T04:00:00.000Z","28.79","29.18","28.12","28.74","1.26","0.40","100,288,814"
"2020-07-13T04:00:00.000Z","28.95","29.11","27.46","28.14","-2.11","-2.97","90,515,923"
"2020-07-20T04:00:00.000Z","28.06","28.73","27.37","27.52","-2.21","-3.07","86,824,082"
"2020-07-27T04:00:00.000Z","27.74","28.65","27.53","28.50","3.58","2.73","107,979,133"
"2020-08-03T04:00:00.000Z","28.61","29.84","28.55","29.33","2.90","2.04","107,516,822"
"2020-08-10T04:00:00.000Z","29.17","30.22","29.04","29.50","0.58","-0.28","83,368,966"
"2020-08-17T04:00:00.000Z","29.65","29.98","29.24","29.70","0.67","-0.19","56,837,367"
"2020-08-24T04:00:00.000Z","29.88","31.03","29.80","31.03","4.48","3.63","72,373,529"
"2020-08-31T04:00:00.000Z","30.91","34.10","30.91","32.66","5.26","4.40","209,868,153"
"2020-09-08T04:00:00.000Z","31.73","33.10","31.49","32.37","-0.90","-1.75","103,541,640"
"2020-09-14T04:00:00.000Z","32.79","33.47","31.94","32.37","0.01","-0.85","121,950,700"
"2020-09-21T04:00:00.000Z","31.78","32.85","31.19","32.40","0.09","-0.77","100,259,362"
"2020-09-28T04:00:00.000Z","32.84","33.69","32.34","32.40","0.01","-0.85","100,812,209"
"2020-10-05T04:00:00.000Z","32.77","34.51","32.68","34.21","5.57","4.71","91,014,025"
"2020-10-12T04:00:00.000Z","34.67","35.21","34.05","34.38","0.52","-0.34","85,394,274"
"2020-10-19T04:00:00.000Z","34.62","34.83","33.33","33.84","-1.57","-2.42","68,730,860"
"2020-10-26T04:00:00.000Z","33.56","33.59","31.27","31.75","-6.20","-7.05","89,958,027"
"2020-11-02T05:00:00.000Z","32.24","34.84","31.48","34.56","8.86","8.00","92,307,069"
"2020-11-09T05:00:00.000Z","35.33","35.77","32.72","33.92","-1.87","-2.73","98,207,690"
"2020-11-16T05:00:00.000Z","34.03","35.31","33.96","34.81","2.63","1.77","75,187,646"
"2020-11-23T05:00:00.000Z","34.99","36.25","34.78","35.86","3.03","2.17","48,795,459"
"2020-11-30T05:00:00.000Z","35.78","37.45","35.66","37.38","4.24","3.38","87,960,243"
"2020-12-07T05:00:00.000Z","37.81","38.75","36.17","36.85","-1.42","-2.28","122,950,078"
"2020-12-14T05:00:00.000Z","36.91","39.90","36.87","39.80","7.99","7.14","145,928,001"
"2020-12-21T05:00:00.000Z","39.21","39.93","38.80","39.51","-0.71","-1.57","56,443,104"
"2020-12-28T05:00:00.000Z","39.78","40.16","39.08","40.10","1.48","0.62","44,752,387"
"2021-01-04T05:00:00.000Z","40.23","41.21","38.51","40.81","1.78","0.92","101,563,470"
"2021-01-11T05:00:00.000Z","40.35","41.99","40.33","40.83","0.05","-0.81","83,521,873"
"2021-01-18T05:00:00.000Z","41.05","42.99","41.05","42.59","4.30","3.44","71,558,174"
"2021-01-25T05:00:00.000Z","43.00","43.04","40.43","41.26","-3.12","-3.98","94,246,155"
"2021-02-01T05:00:00.000Z","41.75","43.82","41.54","42.68","3.44","2.58","85,998,501"
"2021-02-08T05:00:00.000Z","42.93","44.60","42.63","44.54","4.36","3.50","82,590,439"
"2021-02-16T05:00:00.000Z","44.79","45.34","43.50","44.87","0.75","-0.11","69,838,295"
"2021-02-22T05:00:00.000Z","44.32","44.56","41.69","43.03","-4.10","-4.96","108,310,819"
"2021-03-01T05:00:00.000Z","43.68","44.95","39.65","41.22","-4.20","-5.06","157,469,292"
"2021-03-08T05:00:00.000Z","40.92","41.89","38.39","41.32","0.23","-0.63","161,738,935"
"2021-03-15T04:00:00.000Z","41.68","44.62","41.50","43.79","5.98","5.13","243,231,427"
"2021-03-22T04:00:00.000Z","43.65","44.58","41.47","44.49","1.60","0.74","134,205,208"
"2021-03-29T04:00:00.000Z","44.34","44.41","41.68","43.93","-1.26","-2.12","117,624,253"
"2021-04-05T04:00:00.000Z","44.33","45.19","43.98","44.77","1.92","1.06","95,174,060"
"2021-04-12T04:00:00.000Z","44.48","45.15","43.86","44.19","-1.30","-2.16","99,016,091"
"2021-04-19T04:00:00.000Z","43.98","44.01","41.44","43.02","-2.64","-3.50","131,475,760"
"2021-04-26T04:00:00.000Z","43.10","43.77","41.89","42.10","-2.13","-2.99","88,298,055"
