"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2019-08-19T04:00:00.000Z","59.52","60.40","57.43","57.61","-2.17","-2.65","112,579,025"
"2019-08-26T04:00:00.000Z","57.91","59.95","57.68","59.46","3.20","2.73","99,281,775"
"2019-09-03T04:00:00.000Z","59.02","60.63","58.12","60.25","1.33","0.85","92,722,286"
"2019-09-09T04:00:00.000Z","60.28","62.05","59.59","61.93","2.79","2.32","138,775,091"
"2019-09-16T04:00:00.000Z","61.45","62.15","60.75","61.42","-0.82","-1.30","122,848,851"
"2019-09-23T04:00:00.000Z","61.26","62.33","60.39","61.23","-0.32","-0.79","145,801,143"
"2019-09-30T04:00:00.000Z","61.28","61.57","58.09","60.48","-1.22","-1.70","139,159,519"
"2019-10-07T04:00:00.000Z","60.28","61.37","59.41","60.72","0.39","-0.08","90,487,731"
"2019-10-14T04:00:00.000Z","60.62","63.12","60.52","62.15","2.36","1.88","120,303,877"
"2019-10-21T04:00:00.000Z","62.36","63.33","61.92","63.14","1.60","1.12","119,809,350"
"2019-10-28T04:00:00.000Z","63.68","64.89","62.40","63.54","0.63","0.15","208,236,749"
"2019-11-04T05:00:00.000Z","63.73","66.06","63.73","65.38","2.89","2.41","156,158,969"
"2019-11-11T05:00:00.000Z","65.13","66.60","64.53","66.60","1.87","1.40","133,284,770"
"2019-11-18T05:00:00.000Z","66.54","66.62","64.39","64.61","-2.99","-3.47","132,249,574"
"2019-11-25T05:00:00.000Z","64.74","65.81","64.71","65.13","0.81","0.33","77,230,520"
"2019-12-02T05:00:00.000Z","65.05","67.05","63.78","66.89","2.71","2.23","149,259,135"
"2019-12-09T05:00:00.000Z","66.87","67.80","66.62","67.27","0.56","0.08","131,680,956"
"2019-12-16T05:00:00.000Z","67.67","68.14","67.36","67.48","0.32","-0.15","165,317,551"
"2019-12-23T05:00:00.000Z","67.86","68.28","67.13","67.65","0.25","-0.22","80,390,142"
"2019-12-30T05:00:00.000Z","67.76","68.61","66.53","68.00","0.51","0.03","90,329,560"
"2020-01-06T05:00:00.000Z","67.50","71.66","67.47","71.37","4.95","4.48","176,292,091"
"2020-01-13T05:00:00.000Z","71.68","73.94","71.19","73.89","3.54","3.06","157,090,062"
"2020-01-21T05:00:00.000Z","73.87","74.94","73.08","73.22","-0.90","-1.38","133,977,606"
"2020-01-27T05:00:00.000Z","71.50","73.40","70.89","71.56","-2.28","-2.75","156,605,526"
"2020-02-03T05:00:00.000Z","73.00","74.23","71.02","73.87","3.23","2.76","270,920,546"
"2020-02-10T05:00:00.000Z","73.78","76.41","73.68","75.85","2.68","2.20","150,474,490"
"2020-02-18T05:00:00.000Z","75.63","76.45","73.84","74.09","-2.32","-2.80","117,062,162"
"2020-02-24T05:00:00.000Z","71.07","71.76","63.34","66.89","-9.72","-10.20","293,782,895"
"2020-03-02T05:00:00.000Z","67.49","70.33","62.79","64.71","-3.25","-3.73","278,969,924"
"2020-03-09T04:00:00.000Z","60.18","63.72","55.36","60.64","-6.29","-6.76","353,078,754"
"2020-03-16T04:00:00.000Z","54.42","57.56","51.79","53.35","-12.03","-12.51","430,187,019"
"2020-03-23T04:00:00.000Z","52.76","58.51","50.39","55.45","3.94","3.46","386,384,893"
"2020-03-30T04:00:00.000Z","56.57","58.60","53.69","54.57","-1.58","-2.06","284,091,631"
"2020-04-06T04:00:00.000Z","56.59","61.03","56.19","60.26","10.42","9.94","219,549,726"
"2020-04-13T04:00:00.000Z","60.01","64.43","59.05","63.88","6.00","5.53","253,534,663"
"2020-04-20T04:00:00.000Z","63.42","64.33","60.18","63.76","-0.19","-0.66","203,128,898"
"2020-04-27T04:00:00.000Z","64.53","67.93","61.45","65.79","3.19","2.71","338,341,736"
"2020-05-04T04:00:00.000Z","65.33","69.75","64.73","69.14","5.09","4.61","166,438,740"
"2020-05-11T04:00:00.000Z","68.76","70.70","66.09","68.57","-0.81","-1.29","185,414,580"
"2020-05-18T04:00:00.000Z","68.00","70.77","67.63","70.58","2.93","2.45","176,618,490"
"2020-05-26T04:00:00.000Z","72.02","72.17","69.65","71.59","1.43","0.96","148,684,473"
"2020-06-01T04:00:00.000Z","71.20","72.37","70.22","71.92","0.45","-0.02","146,151,524"
"2020-06-08T04:00:00.000Z","71.23","73.55","69.21","70.56","-1.88","-2.36","183,288,090"
"2020-06-15T04:00:00.000Z","69.39","73.03","69.28","71.15","0.83","0.35","179,706,045"
"2020-06-22T04:00:00.000Z","71.17","73.70","67.67","68.05","-4.36","-4.84","220,630,935"
"2020-06-29T04:00:00.000Z","67.94","74.34","67.50","73.41","7.88","7.40","184,970,124"
"2020-07-06T04:00:00.000Z","74.32","76.98","73.76","76.86","4.70","4.22","196,819,625"
"2020-07-13T04:00:00.000Z","77.41","78.73","74.21","75.76","-1.44","-1.92","173,034,327"
"2020-07-20T04:00:00.000Z","75.66","79.26","74.29","75.32","-0.57","-1.05","146,181,529"
"2020-07-27T04:00:00.000Z","75.58","76.96","72.62","74.31","-1.34","-1.82","208,513,063"
"2020-08-03T04:00:00.000Z","74.46","75.92","73.12","74.83","0.70","0.22","173,108,453"
"2020-08-10T04:00:00.000Z","74.45","76.76","73.79","75.15","0.42","-0.06","118,641,998"
"2020-08-17T04:00:00.000Z","75.71","79.50","75.16","78.69","4.71","4.24","140,230,733"
