"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2019-08-19T04:00:00.000Z","103.66","105.42","101.63","102.22","-0.91","-1.86","13,815,362"
"2019-08-26T04:00:00.000Z","103.25","106.57","102.48","105.45","3.16","2.22","13,749,049"
"2019-09-03T04:00:00.000Z","105.05","107.76","104.72","106.46","0.96","0.01","15,446,733"
"2019-09-09T04:00:00.000Z","106.90","106.90","99.32","103.51","-2.77","-3.71","22,922,147"
"2019-09-16T04:00:00.000Z","103.07","109.43","101.94","108.43","4.75","3.81","20,220,122"
"2019-09-23T04:00:00.000Z","108.28","108.78","103.32","104.89","-3.26","-4.21","15,234,616"
"2019-09-30T04:00:00.000Z","104.89","105.90","99.14","101.00","-3.71","-4.65","16,492,533"
"2019-10-07T04:00:00.000Z","101.10","101.88","98.90","101.15","0.15","-0.80","12,149,278"
"2019-10-14T04:00:00.000Z","101.30","102.77","100.62","101.41","0.26","-0.69","10,631,994"
"2019-10-21T04:00:00.000Z","101.67","104.04","94.61","102.87","1.44","0.49","28,384,380"
"2019-10-28T04:00:00.000Z","103.26","107.03","103.26","105.02","2.10","1.15","17,498,912"
"2019-11-04T05:00:00.000Z","105.70","107.00","103.16","105.97","0.91","-0.04","16,748,040"
"2019-11-11T05:00:00.000Z","105.91","106.86","104.21","106.26","0.27","-0.67","15,812,367"
"2019-11-18T05:00:00.000Z","106.10","109.54","105.95","109.09","2.66","1.72","17,906,402"
"2019-11-25T05:00:00.000Z","109.47","111.21","109.47","110.17","0.99","0.05","11,383,494"
"2019-12-02T05:00:00.000Z","110.33","113.32","108.83","112.32","1.95","1.01","14,183,621"
"2019-12-09T05:00:00.000Z","112.22","114.71","111.66","114.09","1.58","0.64","16,699,880"
"2019-12-16T05:00:00.000Z","115.54","128.62","114.59","124.33","8.97","8.03","34,106,389"
"2019-12-23T05:00:00.000Z","124.29","124.47","122.17","123.47","-0.69","-1.63","7,586,796"
"2019-12-30T05:00:00.000Z","123.47","124.36","122.26","123.71","0.19","-0.75","7,772,881"
"2020-01-06T05:00:00.000Z","123.33","129.81","122.93","129.56","4.73","3.78","19,643,691"
"2020-01-13T05:00:00.000Z","129.74","133.28","129.45","131.04","1.14","0.20","24,144,263"
"2020-01-21T05:00:00.000Z","130.96","133.55","129.96","130.56","-0.37","-1.31","14,820,170"
"2020-01-27T05:00:00.000Z","128.94","134.93","128.94","131.10","0.41","-0.53","18,586,191"
"2020-02-03T05:00:00.000Z","131.93","138.82","131.13","137.45","4.85","3.90","19,526,528"
"2020-02-10T05:00:00.000Z","132.84","136.94","132.49","133.17","-3.11","-4.06","18,664,007"
"2020-02-18T05:00:00.000Z","133.08","134.76","132.43","134.04","0.65","-0.29","12,990,296"
"2020-02-24T05:00:00.000Z","131.44","133.62","114.67","119.03","-11.20","-12.14","26,470,486"
"2020-03-02T05:00:00.000Z","120.37","134.34","119.10","133.49","12.15","11.21","36,544,969"
"2020-03-09T04:00:00.000Z","126.47","133.94","118.84","131.52","-1.48","-2.42","35,184,451"
"2020-03-16T04:00:00.000Z","123.62","135.89","113.46","115.51","-12.18","-13.12","40,196,204"
"2020-03-23T04:00:00.000Z","114.14","129.86","110.47","126.56","9.57","8.62","33,952,036"
"2020-03-30T04:00:00.000Z","126.33","136.46","125.49","131.79","4.14","3.19","26,126,411"
"2020-04-06T04:00:00.000Z","134.26","138.96","132.16","137.52","4.35","3.40","17,466,381"
"2020-04-13T04:00:00.000Z","136.81","148.79","134.83","148.43","7.93","6.99","17,946,527"
"2020-04-20T04:00:00.000Z","147.81","155.61","142.88","153.75","3.59","2.64","21,425,350"
"2020-04-27T04:00:00.000Z","154.76","155.24","143.03","144.98","-5.71","-6.65","17,457,594"
"2020-05-04T04:00:00.000Z","145.94","150.25","142.74","144.86","-0.08","-1.02","12,031,925"
"2020-05-11T04:00:00.000Z","144.83","152.31","144.46","150.97","4.21","3.27","14,167,654"
"2020-05-18T04:00:00.000Z","152.97","153.95","141.95","143.32","-5.07","-6.01","15,006,900"
"2020-05-26T04:00:00.000Z","143.27","145.67","136.17","145.02","1.18","0.24","25,144,293"
"2020-06-01T04:00:00.000Z","146.46","146.95","140.64","141.47","-2.45","-3.39","20,675,890"
"2020-06-08T04:00:00.000Z","139.14","144.49","134.13","136.09","-3.80","-4.74","23,034,542"
"2020-06-15T04:00:00.000Z","134.63","158.74","132.43","151.64","11.43","10.48","34,898,508"
"2020-06-22T04:00:00.000Z","150.92","155.29","148.22","154.38","1.81","0.86","18,501,276"
"2020-06-29T04:00:00.000Z","155.35","156.89","152.68","155.37","0.64","-0.31","10,506,960"
"2020-07-06T04:00:00.000Z","155.93","161.89","154.30","154.89","-0.31","-1.25","14,782,667"
"2020-07-13T04:00:00.000Z","156.07","158.58","152.69","157.35","1.59","0.65","13,668,151"
"2020-07-20T04:00:00.000Z","157.85","159.01","150.23","151.26","-3.87","-4.81","10,220,081"
"2020-07-27T04:00:00.000Z","151.32","156.83","141.02","142.49","-5.80","-6.74","22,446,229"
"2020-08-03T04:00:00.000Z","144.87","149.32","143.17","145.00","1.76","0.81","14,289,906"
"2020-08-10T04:00:00.000Z","145.00","145.53","142.10","143.00","-1.38","-2.32","10,417,900"
"2020-08-17T04:00:00.000Z","143.79","147.11","140.96","142.21","-0.55","-1.50","12,118,555"
"2020-08-24T04:00:00.000Z","142.96","144.16","140.03","140.38","-1.29","-2.23","13,395,811"
"2020-08-31T04:00:00.000Z","140.39","146.12","139.59","143.78","2.42","1.48","18,666,999"
"2020-09-08T04:00:00.000Z","143.82","146.84","138.83","141.09","-1.87","-2.81","14,319,357"
"2020-09-14T04:00:00.000Z","142.04","147.20","140.50","146.88","4.11","3.16","27,758,311"
"2020-09-21T04:00:00.000Z","145.93","146.40","140.41","143.16","-2.54","-3.48","16,624,274"
"2020-09-28T04:00:00.000Z","143.86","144.42","136.50","138.35","-3.36","-4.30","19,427,328"
"2020-10-05T04:00:00.000Z","138.21","149.72","137.13","149.47","8.04","7.09","20,025,599"
"2020-10-12T04:00:00.000Z","149.42","149.72","138.51","139.22","-6.86","-7.80","19,546,145"
"2020-10-19T04:00:00.000Z","140.05","140.44","134.15","135.65","-2.56","-3.50","13,452,071"
"2020-10-26T04:00:00.000Z","135.19","135.57","123.10","124.30","-8.37","-9.32","30,381,147"
"2020-11-02T05:00:00.000Z","126.28","144.80","123.85","135.99","9.41","8.47","32,800,472"
"2020-11-09T05:00:00.000Z","135.80","142.15","133.94","136.35","0.26","-0.68","20,465,202"
"2020-11-16T05:00:00.000Z","137.00","140.86","132.74","139.33","2.18","1.24","21,994,359"
