"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2019-08-19T04:00:00.000Z","185.63","187.12","176.30","177.39","-3.24","-3.81","56,473,103"
"2019-08-26T04:00:00.000Z","179.03","186.42","177.87","185.29","4.46","3.88","53,611,933"
"2019-09-03T04:00:00.000Z","183.62","190.97","181.74","187.11","0.98","0.41","50,333,219"
"2019-09-09T04:00:00.000Z","187.34","190.54","184.17","186.81","-0.16","-0.73","64,933,756"
"2019-09-16T04:00:00.000Z","186.55","192.70","185.16","189.54","1.46","0.89","59,097,587"
"2019-09-23T04:00:00.000Z","188.95","189.71","175.30","176.74","-6.76","-7.33","82,598,977"
"2019-09-30T04:00:00.000Z","176.89","180.61","172.74","180.08","1.89","1.32","72,120,479"
"2019-10-07T04:00:00.000Z","179.63","186.11","177.36","183.81","2.07","1.50","51,177,848"
"2019-10-14T04:00:00.000Z","183.82","191.10","182.20","185.47","0.90","0.33","59,673,669"
"2019-10-21T04:00:00.000Z","186.66","190.26","181.13","187.50","1.10","0.53","60,496,249"
"2019-10-28T04:00:00.000Z","186.82","197.68","184.70","193.22","3.05","2.48","120,211,895"
"2019-11-04T05:00:00.000Z","194.15","196.96","189.08","190.45","-1.44","-2.01","61,650,128"
"2019-11-11T05:00:00.000Z","189.54","195.30","188.15","194.70","2.23","1.66","57,957,251"
"2019-11-18T05:00:00.000Z","194.16","199.59","192.65","198.41","1.91","1.34","69,850,433"
"2019-11-25T05:00:00.000Z","199.10","203.38","197.63","201.23","1.42","0.85","47,878,878"
"2019-12-02T05:00:00.000Z","201.72","201.77","194.68","200.64","-0.29","-0.86","55,163,920"
"2019-12-09T05:00:00.000Z","200.24","203.24","192.77","193.71","-3.45","-4.02","72,261,581"
"2019-12-16T05:00:00.000Z","194.87","207.28","194.41","205.88","6.28","5.71","92,698,404"
"2019-12-23T05:00:00.000Z","206.28","208.50","204.58","207.67","0.87","0.30","39,135,346"
"2019-12-30T05:00:00.000Z","207.43","209.97","203.18","208.24","0.27","-0.30","42,873,118"
"2020-01-06T05:00:00.000Z","206.28","219.43","206.10","217.61","4.50","3.93","70,630,034"
"2020-01-13T05:00:00.000Z","219.15","222.17","218.18","221.68","1.87","1.30","63,898,324"
"2020-01-21T05:00:00.000Z","221.69","222.29","215.67","217.49","-1.89","-2.46","49,691,199"
"2020-01-27T05:00:00.000Z","212.66","223.74","200.65","201.50","-7.36","-7.93","141,259,387"
"2020-02-03T05:00:00.000Z","203.02","212.38","202.08","211.89","5.16","4.59","70,632,241"
"2020-02-10T05:00:00.000Z","211.09","214.49","206.09","213.74","0.87","0.30","76,996,994"
"2020-02-18T05:00:00.000Z","213.11","218.32","208.40","209.75","-1.87","-2.44","55,085,656"
"2020-02-24T05:00:00.000Z","201.39","203.23","181.45","192.08","-8.43","-9.00","115,569,792"
"2020-03-02T05:00:00.000Z","193.63","196.84","175.90","180.72","-5.91","-6.48","120,134,546"
"2020-03-09T04:00:00.000Z","169.25","177.92","154.02","169.93","-5.97","-6.54","153,473,533"
"2020-03-16T04:00:00.000Z","152.01","159.60","136.82","149.42","-12.07","-12.64","183,736,490"
"2020-03-23T04:00:00.000Z","149.35","163.66","141.96","156.47","4.72","4.14","147,215,878"
"2020-03-30T04:00:00.000Z","158.85","170.58","150.52","153.86","-1.66","-2.24","112,799,810"
"2020-04-06T04:00:00.000Z","159.82","176.72","158.18","174.83","13.63","13.06","105,279,697"
"2020-04-13T04:00:00.000Z","173.31","180.85","169.10","178.87","2.31","1.74","102,568,330"
"2020-04-20T04:00:00.000Z","177.05","190.02","168.00","189.68","6.04","5.47","124,882,197"
"2020-04-27T04:00:00.000Z","192.26","209.26","182.19","201.86","6.42","5.85","173,885,282"
"2020-05-04T04:00:00.000Z","199.79","212.77","198.35","211.91","4.98","4.41","90,039,234"
"2020-05-11T04:00:00.000Z","210.46","214.83","200.28","210.45","-0.69","-1.26","85,037,378"
"2020-05-18T04:00:00.000Z","211.71","236.71","210.51","234.43","11.40","10.82","184,259,246"
