"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2019-08-19T04:00:00.000Z","131.67","133.24","126.84","127.41","-2.01","-2.52","123,296,420"
"2019-08-26T04:00:00.000Z","128.94","132.94","127.56","131.68","3.35","2.84","109,906,704"
"2019-09-03T04:00:00.000Z","130.48","134.09","129.61","132.86","0.90","0.39","87,776,771"
"2019-09-09T04:00:00.000Z","133.33","133.48","128.48","131.16","-1.28","-1.79","135,869,985"
"2019-09-16T04:00:00.000Z","129.74","135.98","129.58","133.19","1.54","1.04","141,670,940"
"2019-09-23T04:00:00.000Z","132.99","134.38","129.93","131.55","-1.23","-1.73","115,459,671"
"2019-09-30T04:00:00.000Z","131.83","133.96","127.25","131.93","0.28","-0.22","129,019,615"
"2019-10-07T04:00:00.000Z","130.99","134.70","129.54","133.42","1.13","0.62","112,558,727"
"2019-10-14T04:00:00.000Z","133.42","135.43","130.44","131.25","-1.63","-2.13","113,843,883"
"2019-10-21T04:00:00.000Z","132.24","134.81","129.53","134.42","2.42","1.91","149,996,953"
"2019-10-28T04:00:00.000Z","137.92","139.14","136.25","137.27","2.12","1.62","138,302,232"
"2019-11-04T05:00:00.000Z","138.33","139.44","136.78","139.41","1.56","1.05","90,328,645"
"2019-11-11T05:00:00.000Z","138.82","143.26","138.24","143.24","2.75","2.24","98,121,023"
"2019-11-18T05:00:00.000Z","143.34","144.57","142.28","143.37","0.09","-0.42","110,399,894"
"2019-11-25T05:00:00.000Z","143.76","146.16","143.68","145.08","1.20","0.69","77,464,621"
"2019-12-02T05:00:00.000Z","145.49","145.55","140.55","145.44","0.24","-0.26","109,074,807"
"2019-12-09T05:00:00.000Z","144.79","148.45","144.08","148.10","1.83","1.32","104,943,229"
"2019-12-16T05:00:00.000Z","148.66","151.90","147.35","150.86","1.86","1.36","159,789,096"
"2019-12-23T05:00:00.000Z","151.54","152.91","150.58","152.35","0.98","0.48","62,245,921"
"2019-12-30T05:00:00.000Z","152.38","154.04","149.94","152.02","-0.21","-0.72","81,913,701"
"2020-01-06T05:00:00.000Z","150.55","156.43","150.00","154.63","1.71","1.21","117,440,072"
"2020-01-13T05:00:00.000Z","155.03","160.50","154.55","160.15","3.57","3.06","130,209,085"
"2020-01-21T05:00:00.000Z","159.75","161.19","157.61","158.17","-1.23","-1.74","102,519,387"
"2020-01-27T05:00:00.000Z","154.45","166.81","153.54","163.15","3.14","2.64","187,651,862"
"2020-02-03T05:00:00.000Z","163.34","177.91","163.31","176.24","8.02","7.52","174,299,652"
"2020-02-10T05:00:00.000Z","175.94","182.77","174.29","177.64","0.79","0.29","202,955,213"
"2020-02-18T05:00:00.000Z","177.88","180.84","170.34","171.63","-3.38","-3.89","149,205,534"
"2020-02-24T05:00:00.000Z","161.23","168.02","146.07","155.69","-9.28","-9.79","398,548,483"
"2020-03-02T05:00:00.000Z","158.87","168.18","149.92","155.27","-0.27","-0.78","325,862,462"
"2020-03-09T04:00:00.000Z","145.11","155.60","133.18","152.64","-1.70","-2.20","393,573,774"
"2020-03-16T04:00:00.000Z","134.54","144.30","129.74","132.00","-13.52","-14.03","438,438,795"
"2020-03-23T04:00:00.000Z","131.67","150.55","127.35","143.86","8.99","8.48","373,423,451"
"2020-03-30T04:00:00.000Z","146.50","158.36","144.16","147.83","2.76","2.25","301,962,359"
"2020-04-06T04:00:00.000Z","154.07","163.37","151.44","158.70","7.35","6.84","238,945,197"
"2020-04-13T04:00:00.000Z","157.94","172.98","155.97","171.64","8.15","7.64","248,658,725"
"2020-04-20T04:00:00.000Z","169.74","171.78","159.63","167.75","-2.27","-2.78","202,515,379"
"2020-04-27T04:00:00.000Z","169.71","173.37","162.79","167.76","0.01","-0.50","220,723,868"
"2020-05-04T04:00:00.000Z","167.02","177.79","167.02","177.48","5.79","5.28","165,012,222"
"2020-05-11T04:00:00.000Z","176.01","180.20","168.83","176.02","-0.82","-1.33","204,081,823"
"2020-05-18T04:00:00.000Z","178.51","179.89","175.91","176.85","0.47","-0.04","148,891,877"
"2020-05-26T04:00:00.000Z","179.57","179.73","170.19","176.60","-0.14","-0.65","157,279,305"
"2020-06-01T04:00:00.000Z","175.91","180.91","174.77","180.40","2.16","1.65","155,059,220"
"2020-06-08T04:00:00.000Z","179.19","191.31","177.74","180.92","0.29","-0.22","210,747,080"
"2020-06-15T04:00:00.000Z","177.88","192.05","177.33","188.06","3.95","3.44","174,865,827"
"2020-06-22T04:00:00.000Z","188.68","196.55","187.80","189.20","0.60","0.10","189,849,100"
"2020-06-29T04:00:00.000Z","188.67","200.47","186.52","198.77","5.06","4.55","126,999,402"
"2020-07-06T04:00:00.000Z","201.25","208.52","200.44","205.91","3.59","3.08","164,364,847"
"2020-07-13T04:00:00.000Z","206.69","207.97","194.08","195.51","-5.05","-5.56","175,867,591"
"2020-07-20T04:00:00.000Z","197.56","206.17","190.34","193.99","-0.78","-1.29","240,615,685"
"2020-07-27T04:00:00.000Z","194.16","197.65","191.78","197.57","1.84","1.34","154,999,446"
"2020-08-03T04:00:00.000Z","203.84","209.74","202.67","204.77","3.64","3.14","225,796,450"
"2020-08-10T04:00:00.000Z","203.99","204.19","195.76","201.32","-1.68","-2.19","147,092,059"
"2020-08-17T04:00:00.000Z","201.99","208.90","201.33","205.78","2.22","1.71","137,138,810"
"2020-08-24T04:00:00.000Z","207.49","223.30","205.21","221.13","7.46","6.95","178,048,911"
"2020-08-31T04:00:00.000Z","219.29","224.95","198.22","206.97","-6.40","-6.91","213,980,519"
"2020-09-08T04:00:00.000Z","199.48","207.54","194.40","197.10","-4.77","-5.28","173,582,346"
"2020-09-14T04:00:00.000Z","197.30","203.49","189.58","193.58","-1.78","-2.29","173,710,505"
"2020-09-21T04:00:00.000Z","190.49","201.94","189.71","200.76","3.71","3.20","170,596,186"
"2020-09-28T04:00:00.000Z","203.72","206.72","198.56","199.18","-0.78","-1.29","155,908,576"
"2020-10-05T04:00:00.000Z","200.18","208.53","197.86","208.48","4.67","4.16","126,239,628"
"2020-10-12T04:00:00.000Z","211.36","217.56","208.67","212.20","1.78","1.28","146,636,744"
"2020-10-19T04:00:00.000Z","212.92","214.75","204.51","208.88","-1.56","-2.07","118,356,504"
"2020-10-26T04:00:00.000Z","206.58","208.99","192.84","195.59","-6.36","-6.87","200,222,682"
"2020-11-02T05:00:00.000Z","197.35","216.74","193.32","216.12","10.50","9.99","167,674,623"
"2020-11-09T05:00:00.000Z","216.80","220.37","202.59","209.15","-3.22","-3.73","163,688,586"
"2020-11-16T05:00:00.000Z","207.57","210.34","203.33","203.77","-2.57","-3.08","129,310,895"
"2020-11-23T05:00:00.000Z","204.32","209.47","201.61","208.46","2.30","1.79","98,278,780"
"2020-11-30T05:00:00.000Z","207.37","210.49","204.20","207.62","-0.40","-0.91","141,971,999"
"2020-12-07T05:00:00.000Z","207.63","210.13","202.53","206.55","-0.51","-1.02","142,264,704"
"2020-12-14T05:00:00.000Z","206.40","213.94","205.57","211.72","2.50","1.99","192,772,324"
"2020-12-21T05:00:00.000Z","210.71","218.53","210.45","215.75","1.90","1.40","91,967,289"
"2020-12-28T05:00:00.000Z","217.39","220.04","212.77","215.43","-0.15","-0.66","79,036,469"
"2021-01-04T05:00:00.000Z","215.53","215.99","205.28","212.71","-1.26","-1.77","152,324,340"
"2021-01-11T05:00:00.000Z","211.60","212.03","205.36","205.96","-3.17","-3.68","131,615,405"
"2021-01-18T05:00:00.000Z","207.03","222.84","205.94","218.84","6.25","5.75","133,374,318"
"2021-01-25T05:00:00.000Z","221.91","235.01","217.17","224.67","2.66","2.15","251,722,286"
"2021-02-01T05:00:00.000Z","227.67","237.38","225.12","234.58","4.41","3.91","133,951,685"
"2021-02-08T05:00:00.000Z","235.50","238.19","233.24","237.29","1.15","0.64","103,531,252"
"2021-02-16T05:00:00.000Z","237.32","238.39","233.16","233.93","-1.41","-1.92","93,379,343"
"2021-02-22T05:00:00.000Z","230.48","230.98","221.22","225.59","-3.56","-4.07","175,504,280"
"2021-03-01T05:00:00.000Z","229.01","230.53","217.71","224.83","-0.34","-0.84","173,854,464"
"2021-03-08T05:00:00.000Z","224.61","232.18","220.49","228.86","1.79","1.28","155,189,853"
"2021-03-15T04:00:00.000Z","228.10","233.04","222.65","223.62","-2.29","-2.80","169,944,845"
"2021-03-22T04:00:00.000Z","223.54","234.01","223.42","229.57","2.66","2.15","151,348,847"
"2021-03-29T04:00:00.000Z","229.68","235.75","224.35","235.27","2.48","1.97","127,711,950"
"2021-04-05T04:00:00.000Z","235.67","248.51","235.61","248.38","5.57","5.06","134,442,085"
"2021-04-12T04:00:00.000Z","247.27","253.37","247.18","253.12","1.91","1.40","128,311,581"
"2021-04-19T04:00:00.000Z","252.59","254.13","248.17","253.52","0.16","-0.35","117,500,518"
"2021-04-26T04:00:00.000Z","254.02","255.50","241.73","244.81","-3.43","-3.94","174,307,209"
"2021-05-03T04:00:00.000Z","246.00","246.92","237.54","245.08","0.11","-0.40","131,654,132"
"2021-05-10T04:00:00.000Z","243.54","244.38","231.11","240.90","-1.71","-2.22","157,759,951"
"2021-05-17T04:00:00.000Z","239.35","241.63","232.16","238.56","-0.97","-1.48","117,823,984"
"2021-05-24T04:00:00.000Z","241.11","246.12","240.83","242.94","1.84","1.33","102,349,322"
"2021-06-01T04:00:00.000Z","244.45","244.86","236.45","244.03","0.44","-0.06","95,792,666"
"2021-06-07T04:00:00.000Z","243.24","251.51","243.07","250.93","2.83","2.32","110,002,173"
"2021-06-14T04:00:00.000Z","250.94","255.22","247.56","252.43","0.60","0.09","132,758,091"
"2021-06-21T04:00:00.000Z","252.81","260.62","250.96","257.87","2.15","1.65","121,236,915"
"2021-06-28T04:00:00.000Z","259.00","270.50","258.74","270.16","4.77","4.26","107,277,665"
"2021-07-06T04:00:00.000Z","270.53","273.12","266.90","270.44","0.10","-0.40","106,226,006"
"2021-07-12T04:00:00.000Z","271.63","276.44","269.12","273.18","1.01","0.50","120,198,607"
"2021-07-19T04:00:00.000Z","271.12","282.17","267.05","281.86","3.18","2.67","133,307,518"
"2021-07-26T04:00:00.000Z","281.20","282.32","275.32","277.22","-1.64","-2.15","133,048,732"
"2021-08-02T04:00:00.000Z","278.64","281.82","276.09","281.65","1.60","1.09","83,067,723"
"2021-08-09T04:00:00.000Z","281.93","285.00","277.51","284.95","1.17","0.66","83,768,931"
"2021-08-16T04:00:00.000Z","285.28","298.16","281.39","296.72","4.13","3.62","138,635,029"
"2021-08-23T04:00:00.000Z","295.63","297.97","289.38","292.19","-1.52","-2.03","103,892,425"
"2021-08-30T04:00:00.000Z","293.55","297.53","292.64","293.58","0.47","-0.03","95,045,983"
"2021-09-07T04:00:00.000Z","293.45","294.55","287.96","288.28","-1.80","-2.31","73,640,341"
"2021-09-13T04:00:00.000Z","290.08","297.65","286.70","292.34","1.41","0.90","138,257,714"
"2021-09-20T04:00:00.000Z","288.89","293.34","282.25","291.83","-0.17","-0.68","123,986,011"
"2021-09-27T04:00:00.000Z","288.70","289.03","274.23","281.84","-3.42","-3.93","159,547,836"
"2021-10-04T04:00:00.000Z","280.18","289.19","273.21","287.45","1.99","1.48","125,616,769"
"2021-10-11T04:00:00.000Z","285.56","296.80","285.01","296.57","3.17","2.67","116,263,993"
"2021-10-18T04:00:00.000Z","295.95","303.28","295.09","301.40","1.63","1.12","93,667,867"
"2021-10-25T04:00:00.000Z","301.59","323.66","298.76","323.29","7.26","6.76","163,417,820"
"2021-11-01T04:00:00.000Z","323.04","330.28","318.17","327.62","1.34","0.83","124,755,234"
"2021-11-08T05:00:00.000Z","328.83","330.21","321.64","328.26","0.20","-0.31","111,177,884"
"2021-11-15T05:00:00.000Z","329.06","337.05","325.65","335.11","2.08","1.58","103,575,035"
"2021-11-22T05:00:00.000Z","336.58","341.51","320.47","321.99","-3.91","-4.42","109,900,904"
"2021-11-29T05:00:00.000Z","327.13","331.37","310.61","315.47","-2.02","-2.53","181,632,376"
"2021-12-06T05:00:00.000Z","316.39","335.00","311.78","334.55","6.05","5.54","149,615,276"
"2021-12-13T05:00:00.000Z","332.73","335.77","309.85","316.25","-5.47","-5.98","196,317,444"
"2021-12-20T05:00:00.000Z","312.58","328.54","310.16","326.88","3.36","2.86","99,845,430"
"2021-12-27T05:00:00.000Z","327.63","336.27","327.61","328.47","0.49","-0.02","86,667,202"
"2022-01-03T05:00:00.000Z","327.53","330.12","302.86","306.71","-6.62","-7.13","178,169,084"
"2022-01-10T05:00:00.000Z","302.26","315.87","296.66","302.96","-1.22","-1.73","197,876,719"
"2022-01-18T05:00:00.000Z","296.98","306.59","288.71","289.12","-4.57","-5.08","186,073,680"
"2022-01-24T05:00:00.000Z","285.38","301.30","269.61","301.07","4.13","3.62","360,958,125"
"2022-01-31T05:00:00.000Z","301.74","307.77","292.96","298.80","-0.75","-1.26","207,702,361"
"2022-02-07T05:00:00.000Z","299.03","304.65","287.36","288.16","-3.56","-4.07","181,023,672"
"2022-02-14T05:00:00.000Z","286.92","294.46","280.20","281.79","-2.21","-2.72","164,074,429"
"2022-02-22T05:00:00.000Z","278.93","291.29","265.73","290.97","3.26","2.75","172,764,934"
"2022-02-28T05:00:00.000Z","288.04","296.67","281.05","283.68","-2.51","-3.01","160,829,179"
"2022-03-07T05:00:00.000Z","282.38","283.52","264.25","274.10","-3.38","-3.89","188,391,148"
"2022-03-14T04:00:00.000Z","274.37","294.59","269.94","294.03","7.27","6.76","180,791,647"
"2022-03-21T04:00:00.000Z","292.52","298.99","288.62","297.21","1.08","0.57","131,519,425"
"2022-03-28T04:00:00.000Z","297.85","309.22","297.85","302.83","1.89","1.38","151,904,397"
"2022-04-04T04:00:00.000Z","303.48","308.40","289.97","290.64","-4.02","-4.53","146,497,500"
"2022-04-11T04:00:00.000Z","285.57","286.37","273.37","273.87","-5.77","-6.28","118,182,956"
"2022-04-18T04:00:00.000Z","272.97","287.05","267.55","268.19","-2.07","-2.58","127,560,675"
"2022-04-25T04:00:00.000Z","267.47","284.78","264.25","271.61","1.27","0.77","221,106,726"
"2022-05-02T04:00:00.000Z","271.79","284.68","265.49","268.88","-1.01","-1.51","179,596,592"
"2022-05-09T04:00:00.000Z","264.31","267.92","244.69","255.56","-4.95","-5.46","226,830,483"
"2022-05-16T04:00:00.000Z","254.41","262.61","241.75","247.75","-3.05","-3.56","167,966,257"
"2022-05-23T04:00:00.000Z","250.63","268.14","248.61","268.04","8.19","7.68","145,447,772"
"2022-05-31T04:00:00.000Z","267.34","272.41","256.62","264.88","-1.18","-1.69","137,809,222"
"2022-06-06T04:00:00.000Z","266.88","268.96","247.72","248.18","-6.31","-6.81","122,856,579"
"2022-06-13T04:00:00.000Z","240.45","250.44","236.91","242.94","-2.11","-2.62","187,724,878"
"2022-06-21T04:00:00.000Z","245.50","262.88","244.76","262.61","8.10","7.59","117,917,909"
"2022-06-27T04:00:00.000Z","263.10","263.19","248.09","254.64","-3.03","-3.54","129,090,010"
"2022-07-05T04:00:00.000Z","251.29","263.94","249.89","262.57","3.11","2.60","89,008,271"
"2022-07-11T04:00:00.000Z","260.59","261.46","241.26","251.83","-4.09","-4.60","142,472,872"
"2022-07-18T04:00:00.000Z","254.81","260.28","248.48","255.41","1.42","0.91","115,254,719"
