"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2019-08-19T04:00:00.000Z","4.08","4.31","4.02","4.04","1.81","0.27","2,595,543,534"
"2019-08-26T04:00:00.000Z","4.12","4.25","3.96","4.17","3.23","1.69","1,522,887,730"
"2019-09-03T04:00:00.000Z","4.10","4.51","4.06","4.45","6.65","5.11","1,605,511,985"
"2019-09-09T04:00:00.000Z","4.48","4.69","4.45","4.53","1.84","0.30","1,792,553,416"
"2019-09-16T04:00:00.000Z","4.45","4.52","4.29","4.30","-5.08","-6.62","1,344,127,185"
"2019-09-23T04:00:00.000Z","4.30","4.45","4.21","4.27","-0.54","-2.08","1,500,879,036"
"2019-09-30T04:00:00.000Z","4.28","4.56","4.23","4.53","5.94","4.41","1,594,470,207"
"2019-10-07T04:00:00.000Z","4.59","4.71","4.39","4.63","2.21","0.67","2,033,302,611"
"2019-10-14T04:00:00.000Z","4.62","4.96","4.59","4.74","2.42","0.88","1,891,743,392"
"2019-10-21T04:00:00.000Z","4.80","5.11","4.75","5.09","7.38","5.84","1,559,421,046"
"2019-10-28T04:00:00.000Z","5.13","5.20","4.92","5.04","-0.95","-2.49","1,247,110,471"
"2019-11-04T05:00:00.000Z","5.12","5.27","5.08","5.17","2.56","1.03","1,422,911,317"
"2019-11-11T05:00:00.000Z","5.17","5.27","4.99","5.08","-1.73","-3.26","2,421,963,560"
"2019-11-18T05:00:00.000Z","5.07","5.34","5.07","5.25","3.28","1.75","1,985,368,518"
"2019-11-25T05:00:00.000Z","5.38","5.51","5.36","5.40","2.85","1.32","1,256,545,934"
"2019-12-02T05:00:00.000Z","5.39","5.40","4.99","5.28","-2.11","-3.64","1,545,182,679"
"2019-12-09T05:00:00.000Z","5.26","5.70","5.25","5.58","5.57","4.03","1,572,989,566"
"2019-12-16T05:00:00.000Z","5.63","5.99","5.60","5.96","6.87","5.33","2,053,306,422"
"2019-12-23T05:00:00.000Z","5.99","6.02","5.87","5.90","-1.05","-2.58","935,911,649"
"2019-12-30T05:00:00.000Z","5.88","5.97","5.73","5.88","-0.34","-1.87","936,540,855"
"2020-01-06T05:00:00.000Z","5.79","6.19","5.76","6.08","3.49","1.96","1,436,804,859"
"2020-01-13T05:00:00.000Z","6.17","6.30","6.09","6.21","2.03","0.49","1,486,766,805"
"2020-01-21T05:00:00.000Z","6.17","6.46","6.14","6.24","0.48","-1.05","1,079,370,503"
"2020-01-27T05:00:00.000Z","5.93","6.21","5.78","5.89","-5.61","-7.15","1,708,509,539"
"2020-02-03T05:00:00.000Z","5.87","6.33","5.86","6.27","6.41","4.88","1,148,179,370"
"2020-02-10T05:00:00.000Z","6.29","7.35","6.28","7.22","15.18","13.65","3,124,865,873"
"2020-02-18T05:00:00.000Z","7.11","7.88","7.09","7.32","1.48","-0.06","2,906,849,540"
"2020-02-24T05:00:00.000Z","6.73","7.02","6.02","6.73","-8.11","-9.64","4,719,974,532"
"2020-03-02T05:00:00.000Z","6.90","7.10","6.43","6.63","-1.49","-3.03","3,207,176,774"
"2020-03-09T04:00:00.000Z","5.98","6.51","5.38","6.00","-9.47","-11.01","3,158,642,060"
"2020-03-16T04:00:00.000Z","5.29","5.74","4.50","5.13","-14.57","-16.10","4,018,221,333"
"2020-03-23T04:00:00.000Z","5.13","6.56","4.95","6.30","22.83","21.30","3,888,151,072"
"2020-03-30T04:00:00.000Z","6.36","6.86","5.94","6.08","-3.49","-5.03","3,559,810,005"
"2020-04-06T04:00:00.000Z","6.36","6.93","6.30","6.55","7.81","6.27","2,589,602,939"
"2020-04-13T04:00:00.000Z","6.49","7.45","6.40","7.28","11.17","9.63","2,588,741,973"
"2020-04-20T04:00:00.000Z","7.16","7.31","6.66","7.22","-0.93","-2.47","2,454,148,057"
"2020-04-27T04:00:00.000Z","7.35","7.58","7.00","7.05","-2.35","-3.89","2,026,123,339"
