"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2019-08-19T04:00:00.000Z","270.06","271.67","262.00","263.28","-1.38","-1.70","385,252,965"
"2019-08-26T04:00:00.000Z","265.51","271.95","263.64","270.30","2.67","2.35","348,058,738"
"2019-09-03T04:00:00.000Z","268.56","276.20","267.36","275.48","1.91","1.60","269,596,108"
"2019-09-09T04:00:00.000Z","276.48","279.55","273.55","278.29","1.02","0.70","338,694,940"
"2019-09-16T04:00:00.000Z","277.13","279.71","275.65","276.96","-0.48","-0.79","379,108,702"
"2019-09-23T04:00:00.000Z","276.28","278.41","272.70","274.29","-0.97","-1.28","389,699,144"
"2019-09-30T04:00:00.000Z","274.82","277.12","264.46","273.31","-0.36","-0.67","451,892,429"
"2019-10-07T04:00:00.000Z","272.49","277.39","267.87","275.10","0.66","0.34","416,161,571"
"2019-10-14T04:00:00.000Z","274.78","278.78","274.44","276.67","0.57","0.25","269,313,841"
"2019-10-21T04:00:00.000Z","278.02","280.60","277.16","280.04","1.22","0.90","220,393,676"
"2019-10-28T04:00:00.000Z","281.29","284.31","280.16","284.26","1.51","1.19","297,536,719"
"2019-11-04T05:00:00.000Z","285.85","287.52","284.19","286.86","0.91","0.60","272,871,066"
"2019-11-11T05:00:00.000Z","285.45","289.55","285.31","289.51","0.92","0.60","270,829,265"
"2019-11-18T05:00:00.000Z","289.26","290.34","286.97","288.73","-0.27","-0.58","319,287,065"
"2019-11-25T05:00:00.000Z","289.68","292.93","289.68","291.85","1.08","0.76","180,798,503"
"2019-12-02T05:00:00.000Z","292.11","292.77","285.18","292.37","0.18","-0.14","312,550,304"
"2019-12-09T05:00:00.000Z","291.97","295.89","290.45","294.64","0.78","0.46","344,271,048"
"2019-12-16T05:00:00.000Z","296.40","300.43","294.58","299.27","1.57","1.25","458,967,401"
"2019-12-23T05:00:00.000Z","300.07","302.14","299.43","301.26","0.66","0.35","157,395,485"
"2019-12-30T05:00:00.000Z","301.34","303.15","298.73","300.84","-0.14","-0.46","261,417,462"
"2020-01-06T05:00:00.000Z","299.05","305.55","298.93","303.92","1.02","0.71","287,884,266"
"2020-01-13T05:00:00.000Z","304.55","309.95","304.11","309.74","1.92","1.60","356,075,294"
"2020-01-21T05:00:00.000Z","308.76","310.67","305.46","306.77","-0.96","-1.28","285,286,394"
"2020-01-27T05:00:00.000Z","301.42","306.64","299.27","300.20","-2.14","-2.46","419,330,890"
"2020-02-03T05:00:00.000Z","301.72","311.83","301.59","309.97","3.25","2.94","334,656,513"
"2020-02-10T05:00:00.000Z","309.07","315.50","309.03","315.01","1.63","1.31","278,655,420"
"2020-02-18T05:00:00.000Z","313.99","316.39","310.33","311.17","-1.22","-1.54","315,197,800"
"2020-02-24T05:00:00.000Z","301.52","311.24","266.44","276.44","-11.16","-11.48","1,334,145,830"
"2020-03-02T05:00:00.000Z","278.26","292.84","270.81","277.56","0.41","0.09","1,211,552,269"
"2020-03-09T04:00:00.000Z","256.88","269.22","231.11","251.30","-9.46","-9.78","1,676,216,386"
"2020-03-16T04:00:00.000Z","225.04","239.71","212.76","214.75","-14.55","-14.86","1,630,448,532"
"2020-03-23T04:00:00.000Z","214.73","246.66","204.85","237.85","10.76","10.44","1,430,805,045"
"2020-03-30T04:00:00.000Z","239.99","247.16","228.92","232.95","-2.06","-2.38","925,461,604"
"2020-04-06T04:00:00.000Z","242.00","263.93","232.93","261.11","12.09","11.77","781,548,905"
"2020-04-13T04:00:00.000Z","260.12","269.65","254.74","269.03","3.03","2.72","691,726,825"
"2020-04-20T04:00:00.000Z","265.25","269.18","255.31","265.59","-1.28","-1.60","543,262,641"
"2020-04-27T04:00:00.000Z","267.61","276.77","264.23","265.42","-0.06","-0.38","585,985,425"
"2020-05-04T04:00:00.000Z","263.50","274.96","261.99","274.48","3.41","3.09","411,204,747"
"2020-05-11T04:00:00.000Z","272.51","276.17","256.22","268.70","-2.11","-2.42","589,433,525"
"2020-05-18T04:00:00.000Z","275.05","279.57","274.02","277.29","3.20","2.88","472,654,069"
"2020-05-26T04:00:00.000Z","283.39","287.99","277.32","285.63","3.01","2.69","430,227,266"
"2020-06-01T04:00:00.000Z","284.97","301.54","284.45","299.73","4.94","4.62","479,377,115"
"2020-06-08T04:00:00.000Z","300.63","303.55","280.26","285.53","-4.74","-5.06","692,582,446"
"2020-06-15T04:00:00.000Z","279.72","296.37","278.51","290.96","1.90","1.58","610,064,118"
"2020-06-22T04:00:00.000Z","290.35","296.48","282.27","282.86","-2.78","-3.10","523,345,743"
"2020-06-29T04:00:00.000Z","284.14","297.61","281.80","294.34","4.06","3.74","355,261,759"
"2020-07-06T04:00:00.000Z","298.24","299.67","292.88","299.40","1.72","1.40","360,839,287"
"2020-07-13T04:00:00.000Z","301.79","304.53","294.13","303.29","1.30","0.98","425,632,940"
"2020-07-20T04:00:00.000Z","303.02","308.48","300.96","302.50","-0.26","-0.58","340,619,280"
"2020-07-27T04:00:00.000Z","303.20","307.92","301.33","307.81","1.76","1.44","319,625,856"
"2020-08-03T04:00:00.000Z","309.51","315.69","308.95","315.40","2.47","2.15","253,365,049"
"2020-08-10T04:00:00.000Z","315.86","318.90","312.99","317.54","0.68","0.36","272,390,925"
"2020-08-17T04:00:00.000Z","318.58","320.26","316.01","320.03","0.78","0.47","254,143,437"
"2020-08-24T04:00:00.000Z","322.52","330.63","320.00","330.50","3.27","2.95","259,321,832"
"2020-08-31T04:00:00.000Z","330.28","338.20","315.69","322.94","-2.28","-2.60","506,843,067"
"2020-09-08T04:00:00.000Z","317.42","323.01","312.04","314.92","-2.48","-2.80","404,342,118"
"2020-09-14T04:00:00.000Z","318.15","323.41","310.42","312.95","-0.62","-0.94","421,886,823"
"2020-09-21T04:00:00.000Z","308.27","313.48","302.69","311.14","-0.58","-0.90","426,765,000"
"2020-09-28T04:00:00.000Z","315.39","320.61","313.47","315.97","1.55","1.24","420,849,601"
"2020-10-05T04:00:00.000Z","318.08","328.76","316.49","328.29","3.90","3.58","314,440,334"
"2020-10-12T04:00:00.000Z","330.88","335.07","324.77","328.70","0.13","-0.19","381,900,264"
"2020-10-19T04:00:00.000Z","329.99","330.63","322.42","327.27","-0.43","-0.75","313,365,820"
"2020-10-26T04:00:00.000Z","323.82","324.62","305.34","309.06","-5.56","-5.88","523,630,738"
"2020-11-02T05:00:00.000Z","312.53","333.34","309.73","331.42","7.23","6.91","489,533,022"
"2020-11-09T05:00:00.000Z","344.49","344.88","331.75","338.94","2.27","1.95","472,890,794"
"2020-11-16T05:00:00.000Z","341.66","343.37","335.20","336.31","-0.77","-1.09","360,910,965"
"2020-11-23T05:00:00.000Z","338.16","344.69","335.87","344.21","2.35","2.03","210,771,032"
"2020-11-30T05:00:00.000Z","343.41","350.06","339.95","350.06","1.70","1.38","335,913,508"
"2020-12-07T05:00:00.000Z","349.27","351.19","343.82","346.70","-0.96","-1.28","296,820,132"
"2020-12-14T05:00:00.000Z","348.91","352.78","344.96","350.91","1.22","0.90","413,942,793"
"2020-12-21T05:00:00.000Z","346.91","359.73","344.12","350.74","-0.05","-0.37","228,753,560"
"2020-12-28T05:00:00.000Z","353.35","356.12","352.48","355.38","1.32","1.00","232,143,758"
"2021-01-04T05:00:00.000Z","356.74","362.61","346.77","362.39","1.97","1.66","447,207,525"
"2021-01-11T05:00:00.000Z","359.15","362.27","355.21","357.11","-1.46","-1.78","322,116,105"
"2021-01-18T05:00:00.000Z","359.62","365.90","358.11","363.93","1.91","1.59","224,258,874"
"2021-01-25T05:00:00.000Z","364.69","366.76","350.05","351.76","-3.35","-3.66","481,191,845"
"2021-02-01T05:00:00.000Z","355.23","369.25","352.05","368.53","4.77","4.45","303,526,624"
"2021-02-08T05:00:00.000Z","370.01","373.46","368.33","373.21","1.27","0.95","238,372,018"
"2021-02-16T05:00:00.000Z","374.47","374.67","368.55","370.73","-0.66","-0.98","259,576,997"
"2021-02-22T05:00:00.000Z","367.91","372.82","359.51","361.54","-2.48","-2.80","574,954,294"
"2021-03-01T05:00:00.000Z","366.51","371.58","353.48","364.65","0.86","0.54","673,692,875"
"2021-03-08T05:00:00.000Z","365.63","376.07","362.55","374.56","2.72","2.40","523,483,833"
