"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2019-08-19T04:00:00.000Z","14.95","15.27","14.07","14.09","-3.88","-5.33","486,097,476"
"2019-08-26T04:00:00.000Z","14.24","15.50","14.10","15.04","6.72","5.28","423,367,476"
"2019-09-03T04:00:00.000Z","14.94","15.32","14.61","15.16","0.82","-0.63","340,825,480"
"2019-09-09T04:00:00.000Z","15.33","16.90","15.26","16.35","7.80","6.36","504,349,472"
"2019-09-16T04:00:00.000Z","16.40","16.54","15.88","16.04","-1.87","-3.31","364,384,484"
"2019-09-23T04:00:00.000Z","16.00","16.58","14.56","16.14","0.63","-0.82","749,680,476"
"2019-09-30T04:00:00.000Z","16.20","16.40","14.95","15.43","-4.42","-5.86","623,363,968"
"2019-10-07T04:00:00.000Z","15.32","16.74","15.24","16.53","7.11","5.67","577,885,472"
"2019-10-14T04:00:00.000Z","16.53","17.65","16.48","17.13","3.65","2.21","509,146,464"
"2019-10-21T04:00:00.000Z","17.22","22.00","16.68","21.88","27.70","26.26","1,211,615,936"
"2019-10-28T04:00:00.000Z","21.84","22.72","20.65","20.89","-4.52","-5.96","789,704,968"
"2019-11-04T05:00:00.000Z","20.99","22.77","20.62","22.48","7.61","6.16","663,191,968"
"2019-11-11T05:00:00.000Z","22.93","23.76","22.80","23.48","4.46","3.01","556,429,472"
"2019-11-18T05:00:00.000Z","23.53","24.08","22.00","22.20","-5.43","-6.88","627,884,952"
"2019-11-25T05:00:00.000Z","22.95","22.97","21.81","22.00","-0.93","-2.38","424,963,472"
"2019-12-02T05:00:00.000Z","21.96","22.59","21.82","22.39","1.80","0.36","443,809,472"
"2019-12-09T05:00:00.000Z","22.44","24.35","22.34","23.89","6.70","5.25","587,243,960"
"2019-12-16T05:00:00.000Z","24.17","27.53","24.17","27.04","13.17","11.72","1,106,495,944"
"2019-12-23T05:00:00.000Z","27.45","29.02","27.33","28.69","6.11","4.67","629,887,464"
"2019-12-30T05:00:00.000Z","28.59","30.27","26.81","29.53","2.93","1.49","753,697,440"
"2020-01-06T05:00:00.000Z","29.36","33.25","29.33","31.88","7.93","6.49","1,514,917,392"
"2020-01-13T05:00:00.000Z","32.90","36.49","32.80","34.03","6.77","5.32","1,626,452,912"
"2020-01-21T05:00:00.000Z","35.35","39.63","35.23","37.65","10.64","9.20","1,247,654,912"
"2020-01-27T05:00:00.000Z","36.13","43.53","35.95","43.37","15.18","13.74","1,325,066,912"
"2020-02-03T05:00:00.000Z","44.91","64.60","44.90","49.87","14.99","13.54","3,203,101,344"
"2020-02-10T05:00:00.000Z","53.33","54.67","49.00","53.34","6.95","5.50","1,355,878,432"
"2020-02-18T05:00:00.000Z","56.11","62.99","55.49","60.07","12.62","11.18","1,111,432,448"
"2020-02-24T05:00:00.000Z","55.93","57.57","40.77","44.53","-25.86","-27.31","1,432,142,912"
"2020-03-02T05:00:00.000Z","46.07","53.80","45.62","46.90","5.31","3.87","1,268,149,424"
"2020-03-09T04:00:00.000Z","40.36","44.53","33.47","36.44","-22.30","-23.74","1,314,461,936"
"2020-03-16T04:00:00.000Z","31.30","32.99","23.37","28.50","-21.79","-23.23","1,901,263,392"
"2020-03-23T04:00:00.000Z","28.91","37.33","27.37","34.29","20.31","18.86","1,385,575,440"
"2020-03-30T04:00:00.000Z","34.02","36.20","29.76","32.00","-6.68","-8.12","1,283,143,440"
"2020-04-06T04:00:00.000Z","34.08","38.35","33.20","38.20","19.37","17.93","886,912,448"
"2020-04-13T04:00:00.000Z","39.34","51.66","38.70","50.26","31.57","30.12","1,656,223,440"
"2020-04-20T04:00:00.000Z","48.85","51.04","44.92","48.34","-3.81","-5.26","1,134,817,440"
"2020-04-27T04:00:00.000Z","49.17","57.99","45.54","46.75","-3.29","-4.73","1,696,841,936"
"2020-05-04T04:00:00.000Z","46.73","54.93","46.53","54.63","16.84","15.39","1,125,140,896"
"2020-05-11T04:00:00.000Z","52.70","56.22","50.89","53.28","-2.47","-3.92","1,135,385,920"
"2020-05-18T04:00:00.000Z","55.19","55.65","53.07","54.46","2.22","0.77","763,285,448"
"2020-05-26T04:00:00.000Z","55.63","55.67","52.33","55.67","2.22","0.77","580,909,480"
"2020-06-01T04:00:00.000Z","57.40","60.58","56.94","59.04","6.07","4.62","799,495,464"
